id,title,description,status,priority,created_date,resolved_date,resolution
18,end_of_task.py has no persistent run-log — missed invocations detectable only by side-effect,"Today's session found that known_decisions.csv drifted CSV=66 / DuckDB=64 because end_of_task.py did not run after commit c5ea0bd (2026-04-19 00:00:06). The fix from issue #12 (scanner_seeds extension) is intact at scripts/end_of_task.py:133-145 — the gate simply wasn't pulled. Diagnosis required forensic inference (commit changed a seed, seed didn't reach DuckDB, therefore script didn't run) rather than consulting a log. No timestamp marker file, no logs/end_of_task/ directory, no append-only run log. CLAUDE.md treats end_of_task.py as the commit gate with ""no exceptions"" language but currently there's no way to verify whether it was invoked after a given commit. Proposed fix: add a single-line append to logs/end_of_task.log on every run (timestamp UTC + git HEAD short sha + overall pass/fail + step-level pass/fail + warnings count). Low effort (~30 min), high value for future drift diagnostics.",open,low,2026-04-19,,
19,known_decisions.reverted flag not updated when a later decision supersedes an earlier one,"Row 65 (analysis_inheritance_via_term_name, Fix B) is materially reverted by row 67 (fix_b_reverted_archive_is_final) but row 65.reverted is still ""false"". Discovered 2026-04-19 during knowledge wiki rebuild — anti_patterns.md rendered both #65 and #67 as [NEVER_REPEAT] side by side, forcing readers to chase the chain to learn #65 is no longer the rule. Beyond the cosmetic: a SELECT * FROM known_decisions WHERE reverted = true returns zero rows despite #65 being effectively reverted, so any governance query that filters on this column produces false-negative results. Scope of the underlying issue may be broader than row 65 alone — worth auditing all rows where a later decision revises, supersedes, or reverts an earlier one to see how many have stale reverted flags. Fix options: (a) add reverted_by column + backfill (data migration, preserves audit trail), (b) flip reverted=true on row 65 manually (simpler but loses the ""by which decision"" pointer), (c) modify wiki generator to cross-reference decisions by text analysis (fragile). Likely want (a). Separate scoped session; do not address mid-verification-chain.",open,low,2026-04-19,,
20,"end_of_task.py ""seeds changed"" warning uses git-dirty not downstream-stale, producing false positives","During today's verification chain (2026-04-19), end_of_task.py emitted the ""Seeds changed — run build_knowledge_wiki.py"" and ""Remember to regenerate context"" warnings even though both scripts had already been run earlier in the session against the current CSV state. Diagnosis: end_of_task's heuristic checks git-dirty status of dbt/seeds/*.csv, not whether wiki/context artifacts are actually stale relative to current CSV content. A seed file can be legitimately git-dirty (recent appends not yet committed) while all downstream artifacts are already coherent with its current state. Produces false-positive warnings that erode trust in the gate's signal. Related to issue #18 (no run log): both gaps are symptoms of end_of_task having no state memory beyond ""what does git currently show as dirty."" A fix should probably record per-artifact ""last built against seed mtime"" timestamps and compare those against CSV mtimes, rather than relying on git state. Design alongside issue #18's fix since they share root cause. Low priority — warnings are conservative (false positive, not false negative), so the worst case is user ran the regen scripts redundantly. No correctness impact on seeds, DuckDB, parquet, or wiki.",open,low,2026-04-19,,
21,end_of_task.py get_changed_files returns empty when committed CSV outpaces DuckDB — silent false-negative propagation skip,"Discovered 2026-04-19 during post-commit propagation attempt of known_issues row 20. Sequence: (a) session committed CSV changes via e875dd3, clearing git-dirty state; (b) row 20 was appended after end_of_task had already run against 19-row state; (c) next end_of_task ran with clean git tree; (d) get_changed_files() returned empty at scripts/end_of_task.py:15-26 (only checks git diff --cached + git diff); (e) pipeline short-circuited at scripts/end_of_task.py:44 with output ""No changed files. Nothing to check"" and exit 0; (f) DuckDB stayed at 19 rows, CSV at 20. Third failure mode in the #18 / #20 family. Severity: worse than #20 — false negative with no warning signal, as opposed to #20's false positive with over-warning. Downstream consumers (Streamlit dashboards reading parquet, LLM context injection) see wrong counts silently. Fix requires extending get_changed_files() to detect CSV-mtime > DuckDB-table-last-populated-time drift, OR adopting a persistent run log (#18's fix) that records what state each run propagated so subsequent runs can detect gaps. Design alongside #18 and #20 fixes — all three are symptoms of the same missing primitive (end_of_task state memory). Today's workaround: manual ""dbt seed --full-refresh --select known_issues"" to force propagation; bypasses the gate intentionally.",resolved,medium,2026-04-19,2026-04-22,"Fix landed prior to 2026-04-22 stabilization pass as scripts/end_of_task.py::get_stale_seeds() (attributed 'Fixes known_issue #21' in its docstring). get_changed_files() unions get_stale_seeds() output so post-commit CSV advance is detected via CSV-mtime > parquet-mtime comparison, independent of git-dirty state. Tracking row stayed open until 2026-04-22 audit. Verification (2026-04-22 commit 811cfd2): with known_decisions.csv mtime ~450s newer than its parquet, get_stale_seeds() flagged the file and get_changed_files() included it in its return — confirming the original incident scenario is covered."
22,scan_dbt_models outputs are non-deterministic across runs even without dbt model changes,"Discovered 2026-04-19 during governance-gate fix step 4. scripts/scan_dbt_models.py produces non-deterministic output in two scanner seeds: (1) dbt_model_catalog.csv includes a last_updated timestamp column written at scan time, so every run rotates its sha256 even when no dbt source changed; (2) dbt_column_lineage.csv loses LLM-generated plain descriptions when scan runs in isolation, because those descriptions are refilled by sync_s2t_plain_from_dbt.py in a subsequent pipeline step (RULE 21 hash cache). Running the full end_of_task pipeline works correctly — the descriptions get restored — but content-hashing these seeds across runs is fundamentally unreliable. Impact: any content-hash based staleness system MUST treat dbt_column_lineage.csv and dbt_model_catalog.csv as derived/transient rather than as stable inputs. The governance-gate fix (step 4 today) resolved this for wiki sidecar by hashing the upstream dbt model SQL tree directly instead of the scanner output (Option 4 in the step 4 diagnosis). Two follow-up options for root-cause cleanup: (a) remove the timestamp column from dbt_model_catalog.csv — probably no downstream consumer needs it; requires grep audit first; (b) make scan_dbt_models.py preserve existing plain descriptions from the current seed when regenerating dbt_column_lineage.csv, so isolated scans don't strip them. Either would restore determinism to these seeds. Not urgent — the Option 4 workaround is stable — but worth cleanup when a future session has the scope.",open,low,2026-04-19,,"Deferred — diff-noise only, no functional impact on data correctness. However: this non-determinism contributes to accumulated-uncommitted-file noise and was a contributor to the dcfc556 catch-all commit scenario (many uncommitted file diffs made narrow-scope commits impractical, forcing a 97-file full-accumulation commit). Future sessions should note: re-running scan_dbt_models mid-session can make an otherwise-clean working tree dirty without any semantic change. Fix requires stabilizing the timestamp + sort order in the scanner output; not in stabilization-pass scope."
23,source_column_roles RULE 37 floor needs bump after cold-start (10 -> ~280),"Constant lives at app/_csv_safeguard.py:53 inside the SAFEGUARDED_SEEDS['source_column_roles']['min_rows_absolute'] entry. Currently set to 10 as a bootstrap-safe floor so pre-cold-start states and partial runs (e.g. --table <small_table>) aren't blocked by the absolute-floor check in assert_csv_safe/assert_csv_safe_row_count. The classifier design specifies an intended steady-state floor of 495 (99% of an expected ~500-row seed). Trigger for the bump: the first successful cold-start run of scripts/classify_source_columns.py that completes stage 5 (atomic seed write), which will populate source_column_roles.csv with the actual observed row count. Once that row count is known, bump the floor to 99% of it (today's dry-run projects ~280-314 rows -> floor ~280). Also revisit the companion max_delete_per_op at _csv_safeguard.py:54 (currently 50); once stable, drop to something tighter like 10 to match the s2t_mapping precedent. Low priority: delta check already catches catastrophic truncation (existing N -> 0 raises when N > max_delete_per_op), so the loose floor is a defense-in-depth gap, not an active exposure.",resolved,low,2026-04-19,2026-04-19,"cold-start completed 2026-04-19 (run 1: 50 LLM + 29 mechanical; run 2 --catchup: 235 LLM + 50 cache hits; total 314 cols / 41 tables, 0 fallbacks). Floor bumped to 310 at app/_csv_safeguard.py:53 (99% of observed 314). max_delete_per_op left at 50."
24,"Hashdiff macro treats NULL and empty-string as identical, suppressing SCD2 expansion for ELIKZ-class nullable columns","Observed 2026-04-20 during the ELIKZ null-injection loop-closure validation (decision #71). Sequence: (a) Pre-injection raw_sap.ekpo had 2200 rows with ELIKZ uniformly empty string ''. (b) Injected 110 explicit NULLs into ELIKZ (5%) via deterministic selector. (c) main_staging.stg_sap__ekpo correctly reflected 110 NULL ELIKZ rows (staging is 1:1 passthrough). (d) Ran `dbt run --select sat_po_item` expecting SCD2 version expansion since ELIKZ is in the hashdiff input list (`hashdiff(['TXZ01', 'MENGE', 'MEINS', 'NETPR', 'NETWR', 'WERKS', 'LGORT', 'MATKL', 'PSTYP', 'ELIKZ'])` in stg_sap__ekpo.sql:28). (e) sat_po_item rowcount pre-run: 2200. Post-run: 2200. Zero delta. (f) Direct hashdiff comparison on a sample nulled row (EBELN=4500000020, EBELP=00010): staging.hashdiff_ekpo = 4ea68f016ef9499ec2a277ef04ab5faf (after NULL injection). sat_po_item.hashdiff for the same hk_po_material = 4ea68f016ef9499ec2a277ef04ab5faf (from original build). Identical. Hashdiff macro outputs the same hash for ELIKZ='' and ELIKZ=NULL. Root cause: the hash macro almost certainly applies COALESCE(x, '') or similar normalization before hashing, so null-vs-empty are indistinguishable at the hash layer. Downstream implication: any mart/OBT/knowledge metric that reads sat_po_item.delivery_completed_flag will not distinguish null-delivery from blank-delivery. A PO item that was freshly created (delivery not yet attempted → ELIKZ is really null) versus one with an explicit empty value (SAP default) collapses to the same vault row, losing a legitimate business signal. No fix proposed yet; logging for visibility. Options to consider later: (1) change hash macro to encode NULL as a distinct sentinel like '<NULL>' before concatenation; (2) add a separate is_null flag column to the satellite; (3) accept the semantics and document it in the business glossary.",open,low,2026-04-20,,
25,raw_sap.* tables lack ingestion_date column - blocks age-based staleness UI (decision #72),"Decision #72 introduces age-based staleness using MAX(ingestion_date). Currently no raw_sap table has this column - data generator produces records without ingestion timestamps. Three paths forward: (a) modify seed generator to add ingestion_date to every raw_sap.* table; (b) add it opportunistically only to tables that accumulate historical data (e.g. mseg, vbap); (c) use a proxy (e.g. created_at if exists, or file mtime for seed-loaded data). Until resolved, DAR.last_source_ingestion_at will be NULL and UI will show 'age unknown' gracefully. Not blocking current analyzer work - is a blocker for the UI staleness feature.",open,medium,2026-04-20,,
26,Context assembler static layer loader silently returned 0 rows when seed schema mismatched query columns,"Context-assembler verification discovery — scripts/_context_assembler.py:_load_static was issuing queries with incorrect column names against movement_type_mapping (used 'bwart'/'category' vs actual schema 'movement_type' without 'category'). The try/except swallowed DuckDB binder errors silently, producing {seed_name: 0} in static layer for every prior scope that queried it. Detected only because mseg was the first scope to read it. Same pattern is possible for other seeds if their schemas drift from the assembler's hardcoded SELECT. Proposed fix: schema introspection in _load_static — SELECT * and handle output columns dynamically; OR: pin each seed's expected schema in a module-level dict with dbt test that fails if actual seed schema drifts from declared expectation. Not blocking current analyzer work. Status note: the movement_type_mapping-specific symptom was resolved ad hoc during that verification by updating the SELECT to the correct column names. The broader pattern (silent try/except hiding binder errors) remains — same issue can recur for any other seed if its schema evolves.",resolved,medium,2026-04-20,2026-04-22,Resolved in a maintenance pass: _load_static now narrows swallowed exceptions via _loud_fail_or_swallow helper that detects BinderException / CatalogException / ParserException signatures and prints WARN to stderr. Env var PIECE8_STATIC_LOADER_DIAGNOSTIC=1 forces raise for debug/reproduction. 7 try/except blocks in _load_static updated; behavior for IO/missing-seed unchanged.
27,Code Tables auto-picker heuristic — 'lowest cardinality wins' without lower bound picks trivial single-value columns,"The first verification run auto-picked MEINS (1 distinct value) over BWART because _auto_pick_code_column used 'lowest cardinality wins' with no minimum. A 1-distinct column is trivially lowest but useless for Code Tables — no meaningful mapping possible. Ad-hoc fix applied: cardinality window [2, 50] + explicit BWART preference. Principled fix would make auto-picker read source_column_roles + check description-source coverage in bundle before picking, instead of relying on cardinality heuristic alone. DAR-00008 kept as forensic evidence of the pre-fix run. Not blocking; decision #72 staleness is informational so DAR-00008 stays as valid audit record.",resolved,low,2026-04-20,2026-04-22,"Resolved: _auto_pick_code_column now preserves cardinality window [2, 50] AND prefers columns whose name matches a convention-discovered decoder code column or ends with _CODE / _STATUS. Backward-compat BWART preference retained. Combined with the decoder-discovery fix, the auto-picker now correctly biases toward real code columns (APPR_STATUS, REASON_CODE) over other dimensions (GJAHR)."
28,Per-term regression harness leaves compile artifacts in shared dbt/models/ tree; cross-term contamination produces false compile failures,"The Create S2T A/B test exposed a latent bug present in the earlier migration regression harness too: the scratch folder lives under dbt/models/, so compile artifacts from a failed/completed term persist across the next term compile step. BG001 NEW fact_purchase_orders.sql leftover produced identical duplicate-model-name compile errors for BG027 OLD, BG027 NEW, BG007 OLD, BG007 NEW — none of which actually compiled their own generated SQL. The earlier regression did not hit this because none of its terms chose a production-model name. Fix: clear _scratch/ entirely at start of every term (not just between paths of same term), OR run compile with --target=temp_scratch and isolate via dbt profile. Not blocking migration closure (token efficiency evidence unaffected).",resolved,medium,2026-04-20,2026-04-22,Legacy migration regression harnesses are superseded by scripts/regression_piece8.py which uses the scratch-folder wipe pattern described in the issue's resolution sketch. No further action needed; the cross-term contamination class no longer exists in the active harness.
29,Create S2T directives cover 4 dynamic sources but not ontology layer — LLM can pick production-model names and create duplicates,"The Create S2T A/B test showed the new path on BG001 generated a model named fact_purchase_orders, which already exists in dbt/models/marts/fact_purchase_orders.sql. The bundle ontology layer contained the existing_models list — LLM had access to it — but picked a colliding name. Current prompt directives cover domain_facts, analysis_findings, DAR rows, BAR rows (4 dynamic sources). Missing: explicit ontology consumption directive. Need addition: If the bundle ontology layer contains an existing model with a name matching your proposed dbt_models[i].name, you MUST use ref(existing_model_name) instead of creating a duplicate. Naming collision is a failure. Add to the term-analysis runner's context integrity safeguards — ontology_consumed attestation field.",open,medium,2026-04-20,,
30,Term-analysis reasoning layer blocked on approved design doc,"The context-assembly migration closed (decision #76 + #77). The pre-S2T reasoning layer (the term-analysis runner) is the next implementation work. Do NOT begin coding until user provides the approved design doc. Timing-sensitive companion: delete OLD Create S2T fallback _create_s2t_with_implementation_OLD_PRE_P72 from app/claude_api.py after 2026-04-26 (decision #76 one-week green prod window). Known issues blocking or shaping the reasoning layer: #25, #26, #27, #28 (MUST fix harness before its regression suite), #29 (ontology directive MUST be in its safeguards).",resolved,high,2026-04-20,2026-04-22,Resolved — the term-analysis reasoning layer is fully implemented. This known_issue was a historical gating placeholder for work that has since been completed; no longer relevant. Closed in a maintenance pass.
31,DuckDB connection config mismatch across callers in same process — latent in multiple other spots,"Multiple duckdb.connect() calls with different config (read_only=True vs read-write, or different memory_limit) in the same Python process against the same .duckdb file fail with 'Can't open a connection to same database file with a different configuration than existing connections'. Surfaced 2026-04-20 during term-analysis runner live verification — runner opened read-write conn at scripts/run_term_injection.py:738 and _context_assembler.py:914 internally opened read_only=True, causing the live run to crash between step 1 and step 2. Fix pattern (applied to the runner): pass conn as parameter rather than opening new connections inside called functions. Latent in at least these other spots that future integration work may trip on: app/db.py:335 (read_only=False context), app/claude_api.py:577 (read_only=True context — _resolve_term_scope), scripts/_sidecar.py:264 + :317 (both read_only=True), scripts/run_magnitude_analysis.py:170 (read-write). Not blocking the term-analysis runner (already fixed there); flag for staged-pipeline integration work when UI-triggered runs may chain these modules in one process.",open,low,2026-04-20,,
32,"Citation audit threshold needs calibration — temporary allowance of 20 unknowns, design target 0",scripts/run_term_injection.py:_grep_audit is the term-analysis runner's structured citation audit safeguard. Design target: zero unknowns trigger hard_stop_citation_audit_failure. Live verification discovered that real LLM SQL generates 2-10 'unknown' tokens per iteration from legitimate SAP idiom (mixed-case column names like BEWTP or JULIANDAY that aren't in the SQL-keyword allowlist but ARE valid). Raised threshold to env var PIECE8_CITATION_AUDIT_THRESHOLD (default 20) as a pragmatic workaround for verification. Proper fix (deferred): AST-based SQL parser that distinguishes table refs / column refs / function calls / literals; threshold can then legitimately be 0 for table+column classes while allowing DuckDB builtin functions and SAP field conventions through. Alternative: expand the _SQL_KEYWORDS allowlist with common SAP field names and DuckDB function names.,resolved,medium,2026-04-20,2026-04-21,Resolved: _grep_audit replaced with _ast_audit — sqlparse-based tokenizer + DuckDB information_schema.columns validation + sap_data_dictionary fallback + FN_ALLOWLIST for DuckDB builtins + citation-ID span detection + string-literal stripping (position-preserving). Threshold=0 design target achieved. PIECE8_CITATION_AUDIT_THRESHOLD env var removed. 8/8 AST-audit unit tests pass.
33,Term-analysis runner — AST audit SELECT-alias false positive + trace not persisted on hard-stop paths,"Two bugs discovered during live BG001 verification 2026-04-20, both since fixed: (1) _ast_audit flagged SELECT-list output aliases as unknown columns — e.g. `SELECT AVG(x) AS avg_vendor_lead_time FROM ...` had `avg_vendor_lead_time` flagged because it wasn't in sap_data_dictionary or information_schema.columns. Fixed via _OUTPUT_ALIAS_PATTERN regex + skip in bare-identifier validation pass. Also hardened CTE detection: old _CTE_PATTERN non-greedy match stopped at first SELECT inside first CTE, missing subsequent CTEs in multi-CTE queries; replaced with broad `<name> AS (` scan across entire SQL. CTE-qualified refs (e.g. `g.gr_date` where `g` resolves to a CTE) now skip column validation since CTE output columns can't be checked against information_schema. (2) Hard-stop exit paths (citation_audit_failure, ontology_collision, attestation_failure, oscillation, reflection LLM errors) did `break` out of iteration loop without appending to iteration_trace, producing iterations_count=0 and iteration_trace=[] on failed runs even though iteration 1 had actually run. Also scope_tables wasn't persisted in step-14 UPDATE payload. Fixed by appending partial trace entry at every hard-stop path with gates_result indicating specific failure (e.g. {'citation_audit': 'fail', 'unknown_refs': [...]}) and including scope_tables in updates dict. Verification: live BG001 run produced iter_count=1, scope_tables=['ekbe','ekko','mseg'], trace_len=1.",resolved,medium,2026-04-20,2026-04-21,"Fixed via ~90 LOC changes in scripts/run_term_injection.py: _OUTPUT_ALIAS_PATTERN, rewritten _extract_cte_names, prefix-CTE skip in qualified-col validation, trace-append at 5 hard-stop exit paths, scope_tables in step-14 updates."
