id,term_name,display_name,definition,unit,grain,owner,approved_by,status,domain,related_terms,notes,created_date,business_join_description,business_filter_description,archive_id,archived_at_utc,archived_reason_code,archived_reason_text,scope_derivation_history_json
BG011,total_purchase_orders,Total Purchase Orders,Count of distinct purchase order documents in the selected period,count,period,Analytics Team,Head of Supply Chain,approved,procurement,avg_vendor_lead_time;total_po_value,Volume metric. Counts unique EBELN values from EKKO; respects active filters.,2026-04-14,Purchase order header information is linked with material details to identify each unique purchase order.,All purchase orders that have materials assigned to them,,,,,{}
BG012,total_po_value,Total PO Value,Total net value (EUR) of all PO line items in the selected period,EUR,period,Analytics Team,Head of Supply Chain,approved,procurement,total_purchase_orders;vendor_concentration_risk,Sum of EKPO.NETWR. Excludes invoice corrections.,2026-04-14,Purchase order header information is linked to individual purchase order items to show the monetary value for each line item,All purchase order items with their individual net values are included,,,,,{}
BG013,delivery_status_distribution,Delivery Status Distribution,"Classification of PO items by fulfillment state: pending (no GR posted yet), partially_received (GR qty < PO qty), fully_received (GR qty >= PO qty)",count per status,po_item,Analytics Team,Head of Supply Chain,approved,procurement,avg_vendor_lead_time;on_time_delivery_rate,Computed at PO item grain by comparing EKPO.MENGE against aggregated EKBE GR quantities.,2026-04-14,Purchase order data is linked with goods receipt records to track what has been delivered against each order item,All goods receipt postings are included; goods receipt reversals are excluded from delivery quantity calculations,,,,,{}
BG014,vendor_spend_share,Vendor Spend Share,Percentage of total procurement spend attributed to a single vendor in a given quarter,percent,vendor x quarter,Analytics Team,Head of Supply Chain,approved,procurement,vendor_concentration_risk;total_po_value,Computed in obt_vendor_scorecard. Threshold for concentration risk = 60% per PR004.,2026-04-14,Purchase order data is linked with vendor information and date details to calculate each vendor's portion of total quarterly spending.,All purchase orders with valid dates; vendors grouped by quarter to show their share of total company spending,,,,,{}
BG015,vendor_fulfillment_rate,Vendor Fulfillment Rate,Ratio of total received quantity to total ordered quantity per vendor over all time,percent,vendor,Analytics Team,Head of Supply Chain,approved,procurement,on_time_delivery_rate;goods_receipt_accuracy,Reflects how completely a vendor delivers what was ordered. Lower than 100% means consistent under-delivery.,2026-04-14,Purchase order data is linked with vendor information and date details to track quarterly performance metrics.,All purchase orders with valid order dates; calculated as the percentage of quantities actually received compared to quantities originally ordered,,,,,{}
BG016,vendor_performance_grade,Vendor Performance Grade,"Composite letter grade (A/B/C/D) based on on-time delivery rate. A: OTD >= 80, B: 60-79, C: 40-59, D: < 40",grade,vendor,Analytics Team,Head of Supply Chain,approved,procurement,on_time_delivery_rate;vendor_fulfillment_rate,Computed in knowledge_vendor_performance. Grades trigger procurement review if D for two consecutive quarters.,2026-04-14,Vendor master data is linked to purchase order transaction records to calculate delivery performance metrics.,All purchase orders from all vendors are included in the performance calculation,,,,,{}
BG017,total_cpe_devices,Total CPE Devices,Count of distinct equipment records (individual serialized CPE devices) currently tracked in the system,count,total,Analytics Team,Head of Technical Operations,approved,equipment,cpe_lifecycle_status;cpe_deployment_rate,Counts EQUI.EQUNR. Includes all lifecycle statuses (in stock + deployed + returned + defective).,2026-04-14,Each CPE device gets its unique identifier from the master equipment records,All CPE devices regardless of status or location,,,,,{}
BG018,cpe_deployment_rate,CPE Deployment Rate,"Percentage of CPE devices currently in deployed (INST) lifecycle status, per equipment category",percent,equipment_category,Analytics Team,Head of Technical Operations,approved,equipment,cpe_lifecycle_status;total_cpe_devices,Derived from latest equipment status in EQBS. Higher = better fleet utilization.,2026-04-14,Equipment records are linked with their material specifications to categorize devices and track their current status.,All customer premises equipment across all categories and lifecycle stages,,,,,{}
BG019,cpe_return_rate,CPE Return Rate,"Percentage of CPE devices that have been returned from customer (status RET), per equipment category",percent,equipment_category,Analytics Team,Head of Technical Operations,approved,equipment,cpe_defect_rate;cpe_lifecycle_status,Counts movement type 161 receipts. Excludes vendor returns (mvt 122) which are tracked under defect rate.,2026-04-14,Equipment records are linked with their material specifications to categorize devices and calculate return percentages.,All equipment devices regardless of current status; returned devices are counted and calculated as a percentage of total devices per equipment category,,,,,{}
BG020,total_stock_units,Total Stock Units,Sum of unrestricted + quality inspection + blocked stock across all plants and storage locations,count (ST),total or per material per plant,Analytics Team,Head of Logistics,approved,inventory,days_of_stock;blocked_stock,Snapshot from MARD. Includes all stock types — for unrestricted-only see days_of_stock.,2026-04-14,Stock level data is combined with material and plant information to provide complete inventory context,"Only the most recent inventory snapshot; includes unrestricted inventory available for use, inventory under quality inspection, and blocked inventory that cannot be used",,,,,{}
BG021,zero_stock_locations,Zero-Stock Locations,Count of material x plant x storage location combinations where unrestricted stock = 0. Indicates potential stockout risk,count,total,Analytics Team,Head of Logistics,approved,inventory,days_of_stock;total_stock_units,Alert metric. Should be 0 for critical CPE during business hours; non-zero triggers reorder review.,2026-04-14,Current inventory levels are linked with material and plant reference data to identify stock availability at each storage location,Only the most recent inventory snapshot is included,,,,,{}
BG022,blocked_stock,Blocked Stock,Total quantity of stock in blocked status across all locations. Blocked stock cannot be used until quality review is completed,count (ST),total or per material,Analytics Team,Head of Logistics,approved,inventory,total_stock_units;cpe_defect_rate,Quality flag. Spikes indicate potential vendor quality issues; review with vendor scorecard.,2026-04-14,Inventory data is linked with material and plant information to show stock quantities by location,Stock that cannot be used due to quality issues or restrictions; includes materials quarantined for safety or compliance reasons,,,,,{}
BG023,total_goods_movements,Total Goods Movements,"Count of material document items (all movement types: GR, GI, transfers, returns, reversals)",count,period,Analytics Team,Head of Logistics,approved,inventory,total_purchase_orders;deployment_return_ratio,Volume metric for warehouse activity. Includes all BWART codes.,2026-04-14,Material document records are connected to their header information to provide document identification numbers,All material document numbers from goods movement transactions are included,,,,,{}
BG024,deployment_return_ratio,Deployment to Return Ratio,Ratio of customer returns (mvt 161) to deployments (mvt 201) per equipment category. Lower is better — indicates installation quality and product reliability,ratio,equipment_category,Analytics Team,Head of Technical Operations,approved,equipment,cpe_return_rate;cpe_deployment_rate,Should be below 0.05 (5 percent) for healthy CPE categories. Higher values trigger field operations review.,2026-04-14,Material movement records are linked with date information to provide timing context for the signed quantity values.,"Customer returns (movement type 161) and deployments (movement type 201) only — the ratio is SUM(quantity WHERE BWART='161') / SUM(quantity WHERE BWART='201') per equipment category. Other movement types (goods receipts, vendor returns, transfers, reversals, initial stock postings) are excluded from this metric.",,,,,{}
BG025,po_volume_by_month,PO Volume by Month,Count of distinct purchase orders created per calendar month. Used for volume trend analysis and seasonality detection,count,month,Analytics Team,Head of Supply Chain,approved,procurement,total_purchase_orders;purchase_order_cycle_time,No strong seasonality observed in current data — see signal_relationships #7.,2026-04-14,Purchase order records are linked with calendar information to determine the year and month when each order was placed,All purchase orders with their corresponding year-month combinations based on when the orders were created,,,,,{}
BG026,cpe_active_deployed_count,Active Deployed CPE Count,"Number of CPE devices currently installed and working at customer locations. Don't count ones still in the warehouse, returned by customer, or sent back to vendor as defective.",Count,per serial number,Network Operations,Head of Network Operations,archived,inventory,cpe_warehouse_stock_count;cpe_defect_return_rate,Need this for monthly ops review.,2026-04-18,Equipment records are pulled from a single master table containing device information,Only customer premises equipment that is actively installed; devices must have a valid serial number recorded,ARC-20260418-001,2026-04-18T08:20:33Z,other,"Demo rehearsal — SQL repair changed model grain, restart with clean baseline",{}
BG027,cpe_active_deployed_count,Active Deployed CPE Count,"Number of CPE devices currently installed and working at customer locations. Don't count ones still in the warehouse, returned by customer, or sent back to vendor as defective.",Count,per serial number,Network Operations,Head of Network Operations,scope_confirmed,inventory,cpe_warehouse_stock_count;cpe_defect_return_rate,Need this for monthly ops review.,2026-04-18,,,,,,,"{""iterations"": [{""iter_num"": 1, ""mode"": ""propose"", ""timestamp"": ""2026-04-25T11:32:42"", ""analyst_instruction"": null, ""llm_response"": {""proposed_tables"": [""equi"", ""mkpf"", ""mseg"", ""objk"", ""seri""], ""primary_field_per_table"": {""equi"": ""EQUNR"", ""mkpf"": ""MBLNR"", ""mseg"": ""BWART"", ""objk"": ""SERNR"", ""seri"": ""SERNR""}, ""rationale_per_table"": {""equi"": ""Equipment master — provides equipment details and installation status for CPE devices."", ""mkpf"": ""Material document header — provides posting dates for goods movements to determine current status."", ""mseg"": ""Material movement lines — contains BWART movement types to classify deployment vs warehouse vs return movements."", ""objk"": ""Equipment object list — bridges equipment to serial numbers for per-serial tracking."", ""seri"": ""Serial number master — provides serial number details and links to goods movement documents.""}, ""join_path"": [{""from"": ""equi"", ""to"": ""objk"", ""keys"": [""EQUNR""]}, {""from"": ""objk"", ""to"": ""seri"", ""keys"": [""SERNR""]}, {""from"": ""seri"", ""to"": ""mseg"", ""keys"": [""MBLNR"", ""ZEILE""]}, {""from"": ""mseg"", ""to"": ""mkpf"", ""keys"": [""MBLNR""]}], ""blockers"": [{""type"": ""scope_concern"", ""tables"": [""mseg""], ""short_title"": ""BWART movement type semantics unclear"", ""what_it_means"": ""MSEG uses BWART (movement type, a 3-character code) to classify every material movement. 'Active deployed CPE' requires knowing which BWART codes mean 'deployed at customer location' versus 'in warehouse', 'returned by customer', or 'sent back to vendor as defective'."", ""what_llm_needs"": ""Enumeration of BWART distinct values in MSEG plus business mapping to deployment states (deployed/warehouse/returned/defective) and temporal logic for determining 'current' status based on movement sequences."", ""resolves_in"": ""term_eda"", ""resolves_via"": ""Term EDA consumes Domain EDA's Code Tables analysis output (BWART distribution plus descriptions from T156 decoder) plus the term definition, then produces concrete filter logic like 'latest BWART per serial = deployed status'."", ""user_action_now"": ""Confirm scope as-is. After confirmation, Prerequisites view directs you to run Domain EDA on mseg if missing Code Tables analysis. When Domain EDA completes and Term EDA runs, this blocker resolves automatically.""}, {""type"": ""missing_domain_eda"", ""tables"": [""equi""], ""short_title"": ""Equipment status mapping needed"", ""what_it_means"": ""EQUI contains equipment records but Domain EDA coverage shows missing temporal analysis. Equipment installation dates and status changes over time are needed to determine which devices are 'currently installed and working'."", ""what_llm_needs"": ""Analysis of equipment status transitions, installation date patterns, and correlation with movement history to identify 'working' versus 'defective' equipment states."", ""resolves_in"": ""domain_eda"", ""resolves_via"": ""Domain EDA temporal analyzer will examine INBDT installation dates, status code distributions, and time-series patterns to surface equipment lifecycle insights."", ""user_action_now"": ""Confirm scope, then run Domain EDA on equi. The temporal analyzer will provide equipment status transition patterns needed for the 'working' filter.""}], ""attestation_echo"": {""consumed_sap_data_dictionary_entries"": [], ""consumed_source_column_roles_entries"": [""equi.EQUNR"", ""mkpf.MBLNR"", ""mseg.BWART"", ""objk.SERNR"", ""seri.SERNR""], ""consumed_business_glossary_fields"": [""definition"", ""grain"", ""notes""]}, ""confidence"": ""medium"", ""confidence_rationale"": ""Core serial number tracking path is well-established via compiled semantic models, but BWART business semantics for deployment states and equipment status interpretation for 'working' condition require domain analysis to resolve."", ""diff_from_prior"": null, ""reasoning_for_diff"": null}, ""validation_issues"": [], ""analyst_action"": ""confirmed"", ""usage"": {}}], ""confirmed_at_utc"": ""2026-04-25T11:33:01"", ""confirmed_by"": ""direction-d-closure"", ""final_iter_num"": 1}"
BG028,po_invoice_three_way_match_variance,PO-Invoice Three-Way Match Variance,"For each vendor x month, percentage of PO lines where PO quantity, goods-receipt quantity, and invoice quantity all match within 5% tolerance. Also reports exception count and approved-exception count from ZMM_APPROVAL_LOG workflow. A line is matched when |PO_QTY - GR_QTY| / PO_QTY < 0.05 AND |GR_QTY - INVOICE_QTY| / GR_QTY < 0.05. Exceptions with APPR_STATUS='02' in ZMM_APPROVAL_LOG are approved exceptions. Unapproved exceptions are open variance risk.",Percent + Count,vendor x month,finance_ops,user,approved,procurement_finance,"BG008, BG010, BG013","Demo-model expansion term. First glossary term whose scope exercises Layer A (zmm_approval_log is raw-only) alongside Layer B (ekko/ekpo/ekbe/rbkp/rseg/lfa1 all have dbt staging coverage). Three-way match tolerance is 5% per finance policy. Output columns: vendor_id, month, total_po_lines, matched_pct, exception_count, approved_exception_count, open_exception_count.",2026-04-21,"EKKO (PO header) -> EKPO (PO line) -> EKBE (PO history, for GR qty) -> RBKP (invoice header) -> RSEG (invoice line, for invoice qty). LFA1 joined on LIFNR for vendor name. ZMM_APPROVAL_LOG joined on BELNR+GJAHR for approved-exception status.",Include PO lines with a goods receipt (EKBE VGABE='1') and a matched invoice (RBKP exists). Exclude purely-pending approvals from approved-exception count (APPR_STATUS must be '02').,,,,,{}
BG029,total_goods_receipts_by_month,Total Goods Receipts by Month,"Count of goods receipt line items recorded into warehouse stock, aggregated by calendar month. Used for inflow tracking, vendor performance monitoring, and reconciliation against open purchase orders. Counts each line item on a goods receipt document — partial deliveries against the same PO each contribute their own line. Excludes reversals and corrections (cancelling movements that reverse a prior receipt).",count,month,Warehouse Management,Head of Logistic,ready_for_s2t,inventory,total_goods_movements;po_volume_by_month,Volume metric for inbound warehouse activity. Counts line items rather than documents because a single goods receipt can cover multiple PO lines with different materials/quantities — line-item granularity reflects actual physical receipts. Reversals are excluded so the metric reflects net inflow. Compare against po_volume_by_month for receipts-vs-orders alignment.,2026-04-29,Goods receipt line items are linked to their corresponding document headers to retrieve the posting date used to group counts by month.,Only goods receipt lines representing receipts into warehouse stock are counted; each qualifying line is assigned to the calendar month of its posting date,,,,,"{""iterations"": [{""iter_num"": 1, ""mode"": ""propose"", ""timestamp"": ""2026-04-29T09:42:44"", ""analyst_instruction"": null, ""llm_response"": {""proposed_tables"": [""mseg"", ""mkpf""], ""primary_field_per_table"": {""mseg"": ""MENGE"", ""mkpf"": ""MBLNR""}, ""rationale_per_table"": {""mseg"": ""Material document line items — MSEG contains each goods receipt line with MENGE quantity, BWART movement type to filter for receipts (101), and BUDAT posting date for monthly aggregation."", ""mkpf"": ""Material document headers — MKPF provides document-level context and BUDAT posting date for temporal grouping, joined to MSEG via MBLNR.""}, ""join_path"": [{""from"": ""mkpf"", ""to"": ""mseg"", ""keys"": [""MBLNR""]}], ""blockers"": [{""type"": ""scope_concern"", ""tables"": [""mseg""], ""short_title"": ""BWART movement type filter unclear"", ""what_it_means"": ""MSEG contains all material movements (deployments, transfers, receipts, returns) distinguished by BWART (movement type code). The term needs 'goods receipt line items into warehouse stock' but the catalog shows BWART='201' represents 84% of transactions and means 'goods issue for deployment,' not receipts. Standard SAP uses BWART='101' for goods receipts from purchase orders."", ""what_llm_needs"": ""Distribution of BWART codes in MSEG with business meaning per code, specifically identifying which codes represent goods receipts into warehouse stock versus other movement types like deployments or returns."", ""resolves_in"": ""domain_eda"", ""resolves_via"": ""Domain EDA's Code Tables analyzer will produce BWART value distribution from MSEG plus lookup descriptions from T156 movement type table, showing which codes are receipt movements."", ""user_action_now"": ""Confirm scope as-is. After Domain EDA runs on mseg, the BWART semantics will be clarified for proper filtering.""}], ""attestation_echo"": {""consumed_sap_data_dictionary_entries"": [""MSEG.MENGE"", ""MSEG.BWART"", ""MKPF.MBLNR"", ""MKPF.BUDAT""], ""consumed_source_column_roles_entries"": [""mseg.MENGE"", ""mseg.BWART"", ""mkpf.MBLNR"", ""mkpf.BUDAT""], ""consumed_business_glossary_fields"": [""definition"", ""grain"", ""notes""]}, ""confidence"": ""high"", ""confidence_rationale"": ""Core concept (count of goods receipt line items by month) maps cleanly to MSEG line-item grain with MENGE quantity measure and BUDAT date for monthly grouping. MKPF provides necessary document header bridge. BWART filtering semantics require clarification but don't affect table scope."", ""diff_from_prior"": null, ""reasoning_for_diff"": null}, ""validation_issues"": [], ""analyst_action"": ""confirmed"", ""usage"": {""input_tokens"": 30454, ""cache_creation_input_tokens"": 4029, ""cache_read_input_tokens"": 0, ""cache_creation"": {""ephemeral_5m_input_tokens"": 4029, ""ephemeral_1h_input_tokens"": 0}, ""output_tokens"": 734, ""service_tier"": ""standard"", ""inference_geo"": ""not_available""}}], ""confirmed_at_utc"": ""2026-04-29T09:43:34"", ""confirmed_by"": ""analyst"", ""final_iter_num"": 1}"
