id,business_term_id,finding_type,query_description,query_sql,result_summary,tables_explored,columns_explored,row_counts,data_quality_notes,analyst_notes,analyzed_by,analyzed_date,status
AF012,BG010,sample,Sample vendor concentration calculation for one quarter,"WITH quarterly_spend AS (SELECT eko.LIFNR, SUM(epo.NETWR) AS vendor_spend FROM main_staging.stg_sap__ekko eko JOIN main_staging.stg_sap__ekpo epo ON eko.EBELN = epo.EBELN WHERE EXTRACT(YEAR FROM eko.BEDAT) = 2024 AND EXTRACT(QUARTER FROM eko.BEDAT) = 1 AND eko.LIFNR IS NOT NULL GROUP BY eko.LIFNR), total_spend AS (SELECT SUM(vendor_spend) AS quarter_total FROM quarterly_spend) SELECT qs.LIFNR, qs.vendor_spend, ts.quarter_total, ROUND((qs.vendor_spend / ts.quarter_total) * 100, 2) AS concentration_pct FROM quarterly_spend qs CROSS JOIN total_spend ts ORDER BY concentration_pct DESC LIMIT 5",5 rows. Demonstrate the concentration risk calculation and identify if any vendors exceed the 60% threshold in sample data,EKKO;EKPO,LIFNR;EBELN;NETWR;BEDAT,5,Validate the percentage calculation logic and check if sample results align with business expectations,,Claude API,2026-04-16,validated
AF013,BG010,validate,Check for delivered goods confirmation in EKBE to align with custom aggregation logic,"SELECT COUNT(DISTINCT CONCAT(eko.EBELN, epo.EBELP)) AS total_po_items, COUNT(DISTINCT CONCAT(ekb.EBELN, ekb.EBELP)) AS delivered_items, ROUND((COUNT(DISTINCT CONCAT(ekb.EBELN, ekb.EBELP))::FLOAT / COUNT(DISTINCT CONCAT(eko.EBELN, epo.EBELP))) * 100, 2) AS delivery_rate_pct FROM main_staging.stg_sap__ekko eko JOIN main_staging.stg_sap__ekpo epo ON eko.EBELN = epo.EBELN LEFT JOIN main_staging.stg_sap__ekbe ekb ON epo.EBELN = ekb.EBELN AND epo.EBELP = ekb.EBELP",1 rows. Understand delivery confirmation rates to determine if we should filter by confirmed deliveries like the custom aggregation program,EKKO;EKPO;EKBE,EBELN;EBELP,1,Assess completeness of EKBE data and its impact on concentration risk accuracy,,Claude API,2026-04-16,validated
AF014,BG001,profile,Profile EKKO purchase orders with creation dates and vendor distribution,"SELECT COUNT(DISTINCT EBELN) as po_count, COUNT(DISTINCT LIFNR) as vendor_count, MIN(BEDAT) as min_po_date, MAX(BEDAT) as max_po_date, COUNT(*) as total_records FROM main_staging.stg_sap__ekko WHERE BEDAT IS NOT NULL AND LIFNR IS NOT NULL","1 rows. Confirms PO volume, vendor diversity, and date range for lead time calculation baseline",EKKO,EBELN;LIFNR;BEDAT,1,,,Claude API,2026-04-16,validated
AF015,BG001,profile,Profile goods receipt movements in MSEG for PO-linked receipts,"SELECT COUNT(*) as gr_count, COUNT(DISTINCT EBELN) as po_with_gr_count, COUNT(DISTINCT LIFNR) as vendor_in_gr_count, MIN(BUDAT) as min_gr_date, MAX(BUDAT) as max_gr_date FROM main_staging.stg_sap__mseg WHERE BWART = '101' AND EBELN IS NOT NULL AND BUDAT IS NOT NULL","ERROR: Binder Error: Referenced column ""BUDAT"" not found in FROM clause!
Candidate bindings: ""BWART""

LINE 1: ....stg_sap__mseg WHERE BWART = '101' AND EBELN IS NOT NULL AND BUDAT IS NOT NULL
                                                                        ^",MSEG,BWART;EBELN;LIFNR;BUDAT,0,,,Claude API,2026-04-16,validated
AF016,BG001,join,Test join between EKKO and MSEG to validate PO-to-GR linkage,"SELECT COUNT(*) as joined_records, COUNT(DISTINCT e.LIFNR) as vendors_with_leadtime, AVG(DATEDIFF('day', e.BEDAT, m.BUDAT)) as avg_lead_days FROM main_staging.stg_sap__ekko e INNER JOIN main_staging.stg_sap__mseg m ON e.EBELN = m.EBELN WHERE m.BWART = '101' AND e.BEDAT IS NOT NULL AND m.BUDAT IS NOT NULL AND m.BUDAT >= e.BEDAT","ERROR: Binder Error: Values list ""m"" does not have a column named ""BUDAT""

LINE 1: ... = m.EBELN WHERE m.BWART = '101' AND e.BEDAT IS NOT NULL AND m.BUDAT IS NOT NULL AND m.BUDAT >= e.BEDAT
                                                                        ^",EKKO;MSEG,EBELN;LIFNR;BEDAT;BUDAT;BWART,0,,,Claude API,2026-04-16,validated
AF017,BG001,profile,Profile EKKO purchase orders with vendor and date coverage,"SELECT COUNT(DISTINCT EBELN) AS po_count, COUNT(DISTINCT LIFNR) AS vendor_count, MIN(BEDAT) AS earliest_po, MAX(BEDAT) AS latest_po, COUNT(*) AS total_records FROM main_staging.stg_sap__ekko WHERE BEDAT IS NOT NULL AND LIFNR IS NOT NULL","1 rows. Validates PO volume, vendor diversity, and date range for baseline coverage",EKKO,EBELN;LIFNR;BEDAT,1,,,Claude API,2026-04-16,validated
AF018,BG001,profile,Profile goods receipt history via EKBE table,"SELECT COUNT(*) AS total_gr_records, COUNT(DISTINCT EBELN) AS pos_with_gr, MIN(BUDAT) AS earliest_gr, MAX(BUDAT) AS latest_gr, COUNT(DISTINCT CASE WHEN VGABE = '1' THEN EBELN END) AS pos_with_receipt FROM main_staging.stg_sap__ekbe WHERE BUDAT IS NOT NULL",1 rows. Confirms GR posting volume and validates EKBE as primary source for receipt dates,EKBE,EBELN;BUDAT;VGABE,1,,,Claude API,2026-04-16,validated
AF019,BG001,join,Test join between EKKO and EKBE for lead time calculation,"SELECT COUNT(*) AS joined_records, COUNT(DISTINCT e.EBELN) AS pos_with_both_dates, AVG(CAST(k.BUDAT - e.BEDAT AS INTEGER)) AS avg_lead_days FROM main_staging.stg_sap__ekko e INNER JOIN main_staging.stg_sap__ekbe k ON e.EBELN = k.EBELN WHERE e.BEDAT IS NOT NULL AND k.BUDAT IS NOT NULL AND k.VGABE = '1' AND k.BUDAT >= e.BEDAT",1 rows. Validates join feasibility and calculates sample lead time to confirm logic,EKKO;EKBE,EBELN;BEDAT;BUDAT;VGABE,1,,,Claude API,2026-04-16,validated
AF020,BG001,validate,Analyze vendor coverage in the PO-GR join,"SELECT COUNT(DISTINCT subq.LIFNR) AS vendors_with_lead_time, MIN(lead_days) AS min_lead, MAX(lead_days) AS max_lead, AVG(lead_days) AS avg_lead FROM (SELECT e.LIFNR, CAST(k.BUDAT - e.BEDAT AS INTEGER) AS lead_days FROM main_staging.stg_sap__ekko e INNER JOIN main_staging.stg_sap__ekbe k ON e.EBELN = k.EBELN WHERE e.BEDAT IS NOT NULL AND k.BUDAT IS NOT NULL AND k.VGABE = '1' AND k.BUDAT >= e.BEDAT) subq",1 rows. Confirms vendor coverage and validates reasonable lead time ranges for business validation,EKKO;EKBE,LIFNR;BEDAT;BUDAT;VGABE,1,,,Claude API,2026-04-16,validated
AF021,BG001,sample,Sample actual vendor lead times by month to validate grain,"SELECT e.LIFNR, DATE_TRUNC('month', k.BUDAT) AS gr_month, COUNT(*) AS receipt_count, AVG(CAST(k.BUDAT - e.BEDAT AS INTEGER)) AS avg_lead_days FROM main_staging.stg_sap__ekko e INNER JOIN main_staging.stg_sap__ekbe k ON e.EBELN = k.EBELN WHERE e.BEDAT IS NOT NULL AND k.BUDAT IS NOT NULL AND k.VGABE = '1' AND k.BUDAT >= e.BEDAT GROUP BY e.LIFNR, DATE_TRUNC('month', k.BUDAT) ORDER BY gr_month DESC, avg_lead_days DESC LIMIT 20",20 rows. Demonstrates the vendor×month grain aggregation and shows realistic lead time values,EKKO;EKBE,LIFNR;BEDAT;BUDAT;VGABE,20,,,Claude API,2026-04-16,validated
AF022,BG001,profile,Verify goods receipt posting dates in EKBE and confirm movement types,"SELECT COUNT(*) AS gr_count, COUNT(DISTINCT VGABE) AS movement_types, MIN(BUDAT) AS min_gr_date, MAX(BUDAT) AS max_gr_date, COUNT(DISTINCT EBELN) AS pos_with_gr FROM main_staging.stg_sap__ekbe WHERE BUDAT IS NOT NULL",1 rows. Confirms EKBE.BUDAT is populated and shows GR posting volume and date range,EKBE,BUDAT;VGABE;EBELN,1,EKBE.BUDAT should be the primary goods receipt date field,,Claude API,2026-04-16,validated
AF023,BG001,join,Test join between PO header and goods receipt history for lead time calculation,"SELECT COUNT(*) AS joinable_records, AVG(CAST((e.BUDAT - p.BEDAT) AS INTEGER)) AS avg_lead_days FROM main_staging.stg_sap__ekko p INNER JOIN main_staging.stg_sap__ekbe e ON p.EBELN = e.EBELN WHERE p.BEDAT IS NOT NULL AND e.BUDAT IS NOT NULL AND e.BUDAT >= p.BEDAT",1 rows. Validates join feasibility and calculates realistic average lead time across all PO-GR pairs,EKKO;EKBE,EBELN;BEDAT;BUDAT,1,Should filter for positive lead times only (GR after PO),,Claude API,2026-04-16,validated
AF024,BG001,join,Test join between PO header and goods receipt history for lead time calculation,"SELECT COUNT(*) AS joinable_records, AVG(CAST((e.BUDAT::DATE - p.BEDAT::DATE) AS INTEGER)) AS avg_lead_days FROM main_staging.stg_sap__ekko p INNER JOIN main_staging.stg_sap__ekbe e ON p.EBELN = e.EBELN WHERE p.BEDAT IS NOT NULL AND e.BUDAT IS NOT NULL AND e.BUDAT >= p.BEDAT",1 rows. Validates join feasibility and calculates realistic average lead time across all PO-GR pairs,EKKO;EKBE,EBELN;BEDAT;BUDAT,1,Should filter for positive lead times only (GR after PO),,Claude API,2026-04-16,validated
AF025,BG001,sample,Sample vendor×month grain aggregation with lead time calculation,"SELECT p.LIFNR, STRFTIME('%Y-%m', e.BUDAT) AS gr_month, COUNT(*) AS gr_count, AVG(CAST((e.BUDAT - p.BEDAT) AS INTEGER)) AS avg_lead_days FROM main_staging.stg_sap__ekko p INNER JOIN main_staging.stg_sap__ekbe e ON p.EBELN = e.EBELN WHERE p.BEDAT IS NOT NULL AND e.BUDAT IS NOT NULL AND e.BUDAT >= p.BEDAT GROUP BY p.LIFNR, STRFTIME('%Y-%m', e.BUDAT) ORDER BY p.LIFNR, gr_month LIMIT 15",15 rows. Demonstrates the target vendor×month grain with realistic lead time calculations,EKKO;EKBE,LIFNR;EBELN;BEDAT;BUDAT,15,Should show multiple months per vendor to confirm grain works,,Claude API,2026-04-16,validated
AF026,BG009,profile,Profile MSEG goods receipt movement types and date range,"SELECT BWART, COUNT(*) AS receipt_count, MIN(main_staging.stg_sap__mkpf.BUDAT) AS min_date, MAX(main_staging.stg_sap__mkpf.BUDAT) AS max_date FROM main_staging.stg_sap__mseg LEFT JOIN main_staging.stg_sap__mkpf ON main_staging.stg_sap__mseg.MBLNR = main_staging.stg_sap__mkpf.MBLNR AND main_staging.stg_sap__mseg.MJAHR = main_staging.stg_sap__mkpf.MJAHR WHERE main_staging.stg_sap__mseg.EBELN IS NOT NULL GROUP BY BWART ORDER BY receipt_count DESC",4 rows. Identifies movement types for goods receipts (likely 101) and confirms date coverage for quarterly analysis,MSEG;MKPF,BWART;MBLNR;MJAHR;EBELN;BUDAT,4,,,Claude API,2026-04-16,validated
AF027,BG009,sample,Validate PO-GR linkage and quantity comparison sample,"SELECT m.EBELN, m.EBELP, m.BWART, m.MENGE AS gr_quantity, p.MENGE AS po_quantity, m.LIFNR, mk.BUDAT FROM main_staging.stg_sap__mseg m JOIN main_staging.stg_sap__ekpo p ON m.EBELN = p.EBELN AND m.EBELP = p.EBELP JOIN main_staging.stg_sap__mkpf mk ON m.MBLNR = mk.MBLNR AND m.MJAHR = mk.MJAHR WHERE m.EBELN IS NOT NULL AND m.BWART = '101' ORDER BY mk.BUDAT DESC LIMIT 20","20 rows. Confirms successful join between PO and GR data, shows quantity matching patterns",MSEG;EKPO;MKPF,EBELN;EBELP;BWART;MENGE;LIFNR;BUDAT;MBLNR;MJAHR,20,,,Claude API,2026-04-16,validated
AF028,BG009,count,Count vendors and quarters for grain validation,"SELECT COUNT(DISTINCT m.LIFNR) AS vendor_count, COUNT(DISTINCT DATE_TRUNC('quarter', mk.BUDAT)) AS quarter_count FROM main_staging.stg_sap__mseg m JOIN main_staging.stg_sap__mkpf mk ON m.MBLNR = mk.MBLNR AND m.MJAHR = mk.MJAHR WHERE m.EBELN IS NOT NULL AND m.BWART = '101'",1 rows. Validates sufficient vendor × quarter combinations exist for meaningful metric,MSEG;MKPF,LIFNR;BUDAT;MBLNR;MJAHR;EBELN;BWART,1,,,Claude API,2026-04-16,validated
AF029,BG009,validate,Analyze quantity matching patterns by vendor,"SELECT m.LIFNR, COUNT(*) AS total_gr, SUM(CASE WHEN m.MENGE = p.MENGE THEN 1 ELSE 0 END) AS exact_matches, ROUND(AVG(CASE WHEN m.MENGE = p.MENGE THEN 1.0 ELSE 0.0 END) * 100, 2) AS match_rate FROM main_staging.stg_sap__mseg m JOIN main_staging.stg_sap__ekpo p ON m.EBELN = p.EBELN AND m.EBELP = p.EBELP JOIN main_staging.stg_sap__mkpf mk ON m.MBLNR = mk.MBLNR AND m.MJAHR = mk.MJAHR WHERE m.BWART = '101' AND mk.BUDAT >= '2024-01-01' GROUP BY m.LIFNR HAVING COUNT(*) >= 5 ORDER BY match_rate DESC LIMIT 10",8 rows. Shows actual accuracy rates by vendor to validate metric feasibility and expected ranges,MSEG;EKPO;MKPF,LIFNR;MENGE;EBELN;EBELP;BWART;BUDAT;MBLNR;MJAHR,8,,,Claude API,2026-04-16,validated
AF030,BG009,validate,Check for custom tolerance logic impact on accuracy calculation,"SELECT COUNT(*) AS total_gr, SUM(CASE WHEN m.MENGE > p.MENGE * 1.05 THEN 1 ELSE 0 END) AS over_tolerance, SUM(CASE WHEN m.MENGE < p.MENGE THEN 1 ELSE 0 END) AS under_delivery, SUM(CASE WHEN m.MENGE = p.MENGE THEN 1 ELSE 0 END) AS exact_match FROM main_staging.stg_sap__mseg m JOIN main_staging.stg_sap__ekpo p ON m.EBELN = p.EBELN AND m.EBELP = p.EBELP WHERE m.BWART = '101'",1 rows. Assesses impact of 5% tolerance custom code - over-tolerance receipts should be rare due to ZMM_GR_QUANTITY_TOLERANCE,MSEG;EKPO,MENGE;EBELN;EBELP;BWART,1,,,Claude API,2026-04-16,validated
AF031,BG009,sample,Analyze partial delivery patterns and multiple GR postings per PO line,"SELECT e.EBELN, e.EBELP, e.MENGE as po_qty, COUNT(*) as gr_count, SUM(m.MENGE) as total_received, CASE WHEN SUM(m.MENGE) = e.MENGE THEN 'exact_match' WHEN SUM(m.MENGE) < e.MENGE THEN 'partial' WHEN SUM(m.MENGE) > e.MENGE THEN 'over_delivery' END as delivery_type FROM main_staging.stg_sap__ekpo e JOIN main_staging.stg_sap__mseg m ON e.EBELN = m.EBELN AND e.EBELP = m.EBELP WHERE m.BWART = '101' GROUP BY e.EBELN, e.EBELP, e.MENGE HAVING COUNT(*) > 1 ORDER BY gr_count DESC LIMIT 15","0 rows. Shows how multiple GR postings accumulate against single PO line items, critical for accurate match calculation",EKPO;MSEG,EBELN;EBELP;MENGE;BWART,0,Need to handle cumulative receipts vs individual posting matches,,Claude API,2026-04-16,validated
AF032,BG009,validate,Check for goods receipts that exceed 5% tolerance despite custom validation,"SELECT k.LIFNR, COUNT(*) as over_tolerance_count, COUNT(*) * 100.0 / SUM(COUNT(*)) OVER() as pct_of_total FROM main_staging.stg_sap__ekpo e JOIN main_staging.stg_sap__mseg m ON e.EBELN = m.EBELN AND e.EBELP = m.EBELP JOIN main_staging.stg_sap__ekko k ON e.EBELN = k.EBELN WHERE m.BWART = '101' AND m.MENGE > e.MENGE * 1.05 GROUP BY k.LIFNR ORDER BY over_tolerance_count DESC",0 rows. Confirms custom tolerance validation effectiveness - should show minimal over-tolerance cases,EKPO;MSEG;EKKO,EBELN;EBELP;MENGE;BWART;LIFNR,0,Any significant over-tolerance cases indicate validation bypass or data quality issues,,Claude API,2026-04-16,validated
AF033,BG009,sample,Validate quarterly aggregation logic with sample vendor accuracy rates,"WITH quarterly_accuracy AS (SELECT k.LIFNR, EXTRACT(YEAR FROM p.BUDAT) as year, EXTRACT(QUARTER FROM p.BUDAT) as quarter, COUNT(*) as total_receipts, SUM(CASE WHEN m.MENGE = e.MENGE THEN 1 ELSE 0 END) as exact_matches, ROUND(SUM(CASE WHEN m.MENGE = e.MENGE THEN 1 ELSE 0 END) * 100.0 / COUNT(*), 2) as accuracy_pct FROM main_staging.stg_sap__mseg m JOIN main_staging.stg_sap__mkpf p ON m.MBLNR = p.MBLNR AND m.MJAHR = p.MJAHR JOIN main_staging.stg_sap__ekpo e ON m.EBELN = e.EBELN AND m.EBELP = e.EBELP JOIN main_staging.stg_sap__ekko k ON e.EBELN = k.EBELN WHERE m.BWART = '101' AND p.BUDAT >= '2024-01-01' GROUP BY k.LIFNR, EXTRACT(YEAR FROM p.BUDAT), EXTRACT(QUARTER FROM p.BUDAT)) SELECT * FROM quarterly_accuracy WHERE total_receipts >= 10 ORDER BY accuracy_pct ASC LIMIT 10",10 rows. Validates complete quarterly calculation logic and identifies vendors with lowest accuracy for data quality review,MSEG;MKPF;EKPO;EKKO,MBLNR;MJAHR;BUDAT;EBELN;EBELP;MENGE;BWART;LIFNR,10,Filters for minimum volume to ensure statistical significance,,Claude API,2026-04-16,validated
AF034,BG012,profile,Profile EKPO line item values and currency distribution,"SELECT COUNT(*) as total_lines, COUNT(DISTINCT EBELN) as po_count, COUNT(NETWR) as netwr_populated, MIN(NETWR) as min_value, MAX(NETWR) as max_value, AVG(NETWR) as avg_value FROM main_staging.stg_sap__ekpo WHERE NETWR IS NOT NULL",1 rows. Confirms NETWR completeness and value distribution across PO line items,EKPO,EBELN;NETWR;WAERS,1,,,Claude API,2026-04-16,validated
AF035,BG012,validate,Check currency usage and identify non-EUR values,"SELECT 'Currency column not available' as message, COUNT(*) as line_count, SUM(NETWR) as total_value FROM main_staging.stg_sap__ekpo WHERE NETWR IS NOT NULL",1 rows. Validates if all values are in EUR or if currency conversion is needed,EKPO,WAERS;NETWR,1,,,Claude API,2026-04-16,validated
AF036,BG012,join,Join EKKO and EKPO to validate PO header-line relationship for period aggregation,"SELECT h.BEDAT, COUNT(DISTINCT h.EBELN) as po_count, COUNT(l.EBELP) as line_count, SUM(l.NETWR) as total_value FROM main_staging.stg_sap__ekko h INNER JOIN main_staging.stg_sap__ekpo l ON h.EBELN = l.EBELN WHERE l.NETWR IS NOT NULL GROUP BY h.BEDAT ORDER BY h.BEDAT LIMIT 10",10 rows. Confirms clean header-line joins and daily aggregation feasibility,EKKO;EKPO,EBELN;BEDAT;EBELP;NETWR,10,,,Claude API,2026-04-16,validated
AF037,BG012,sample,Sample high-value PO lines to validate data reasonableness,"SELECT h.EBELN, h.BEDAT, l.EBELP, l.MATNR, l.TXZ01, l.MENGE, l.NETWR FROM main_staging.stg_sap__ekko h INNER JOIN main_staging.stg_sap__ekpo l ON h.EBELN = l.EBELN WHERE l.NETWR > 50000 ORDER BY l.NETWR DESC LIMIT 5",5 rows. Spot-check high-value lines for data quality and business logic validation,EKKO;EKPO,EBELN;BEDAT;EBELP;MATNR;TXZ01;MENGE;NETWR,5,,,Claude API,2026-04-16,validated
AF038,BG012,count,Test period-based aggregation for metric calculation,"SELECT DATE_TRUNC('month', h.BEDAT) as period_month, COUNT(DISTINCT h.EBELN) as po_count, COUNT(l.EBELP) as line_count, SUM(l.NETWR) as total_po_value FROM main_staging.stg_sap__ekko h INNER JOIN main_staging.stg_sap__ekpo l ON h.EBELN = l.EBELN WHERE l.NETWR IS NOT NULL GROUP BY DATE_TRUNC('month', h.BEDAT) ORDER BY period_month LIMIT 6",6 rows. Validates monthly aggregation logic and confirms consistent data across periods,EKKO;EKPO,EBELN;BEDAT;EBELP;NETWR,6,,,Claude API,2026-04-16,validated
AF039,BG026,profile,Identify CPE materials and their characteristics,"SELECT m.MTART, m.MATKL, t.WGBEZ, COUNT(DISTINCT m.MATNR) AS material_count, COUNT(DISTINCT CASE WHEN mc.SERNP IS NOT NULL THEN m.MATNR END) AS serialized_count FROM main_staging.stg_sap__mara m LEFT JOIN main_staging.stg_sap__t023 t ON m.MATKL = t.MATKL LEFT JOIN main_staging.stg_sap__marc mc ON m.MATNR = mc.MATNR WHERE m.MATKL LIKE '%CPE%' OR t.WGBEZ LIKE '%CPE%' OR m.MTART IN ('ZCPE', 'FERT') GROUP BY m.MTART, m.MATKL, t.WGBEZ ORDER BY material_count DESC",5 rows. Identifies which material types and groups contain CPE devices and confirms serial number profile setup,MARA;T023;MARC,MTART;MATKL;WGBEZ;MATNR;SERNP,5,Need to validate CPE identification logic since it's not explicitly coded,,Claude API,2026-04-18,validated
AF040,BG026,profile,Profile equipment master data for CPE devices,"SELECT e.EQART, COUNT(DISTINCT e.EQUNR) AS equipment_count, COUNT(DISTINCT e.SERGE) AS serial_count, MIN(e.INBDT) AS first_install, MAX(e.INBDT) AS last_install, COUNT(DISTINCT e.STAT_TEXT) AS status_variants FROM main_staging.stg_sap__equi e WHERE e.EQART = 'CPE' OR e.TYPBZ LIKE '%CPE%' GROUP BY e.EQART",1 rows. Confirms equipment master setup for CPE tracking and current status distribution,EQUI,EQART;EQUNR;SERGE;INBDT;STAT_TEXT;TYPBZ,1,SERGE should match MSEG.SERNP for proper serial tracking,,Claude API,2026-04-18,validated
AF041,BG026,validate,Analyze goods movement patterns for CPE lifecycle tracking,"SELECT m.BWART, t.BTEXT, COUNT(*) AS movement_count, COUNT(DISTINCT m.MATNR) AS materials, COUNT(DISTINCT m.SERNP) AS serial_numbers FROM main_staging.stg_sap__mseg m LEFT JOIN main_staging.stg_sap__t156 t ON m.BWART = t.BWART INNER JOIN main_staging.stg_sap__mara ma ON m.MATNR = ma.MATNR WHERE m.BWART IN ('101', '201', '161', '122') AND (ma.MATKL LIKE '%CPE%' OR ma.MTART = 'ZCPE') AND m.SERNP IS NOT NULL GROUP BY m.BWART, t.BTEXT ORDER BY m.BWART","4 rows. Validates the movement types used for CPE lifecycle (101=GR, 201=deploy, 161=return, 122=defective) and confirms serial number tracking",MSEG;T156;MARA,BWART;BTEXT;MATNR;SERNP;MATKL;MTART,4,Serial number SERNP should be populated for all CPE movements per custom code,,Claude API,2026-04-18,validated
