"table_name","field_name","data_type","length","description_en","description_hr","business_meaning","example_value","domain_area","description_source","needs_review"
"BSEG","BSCHL","CHAR","2","Posting key defining the type of accounting entry and account assignment.","Ključ knjiženja koji definira vrstu računovodstvene stavke i dodjelu računa.","Controls which account types can be posted (01=Customer, 31=Vendor, 40=G/L account, etc.) and determines debit/credit logic. Essential for automated three-way matching and vendor payment processing in procurement.","31","finance","sap_standard","0"
"BSEG","BUKRS","CHAR","4","Company code identifying the legal entity or organizational unit.","Šifra društva koja identificira pravnu osobu ili organizacijsku jedinicu.","Standard SAP organizational dimension that groups all accounting documents by company. Essential for multi-company reporting and legal consolidation in procurement-to-pay processes.","1000","org_structure","sap_standard","0"
"BSEG","BUZEI","NUMC","3","Line item number within the accounting document.","Broj stavke linije unutar računovodstvenog dokumenta.","Sequential numbering of line items within each document. Completes the primary key (BUKRS+BELNR+GJAHR+BUZEI) and enables detailed analysis of individual posting entries in procurement workflows.","001","finance","sap_standard","0"
"BSEG","DMBTR","CURR","13","Amount in local currency of the company code.","Iznos u lokalnoj valuti šifre društva.","Standardized currency amount for consolidation and reporting. Always reflects the company's local currency regardless of transaction currency, enabling consistent financial analysis across HT's procurement operations.","1250.00","finance","sap_standard","0"
"BSEG","GJAHR","NUMC","4","Fiscal year for the accounting document posting.","Poslovna godina za knjiženje računovodstvenog dokumenta.","Part of the primary key that enables year-based partitioning and reporting. Critical for period-end closing processes and multi-year procurement analytics in CPE lifecycle management.","2024","finance","sap_standard","0"
"BSEG","HKONT","CHAR","10","General ledger account number for the posting.","Broj glavne knjige računa za knjiženje.","Links financial postings to chart of accounts structure. Critical for procurement expense classification, asset capitalization tracking, and financial reporting of CPE investments and operational costs.","0000400000","finance","sap_standard","0"
"BSEG","MATNR","CHAR","40","Material number identifying the procured item or equipment.","Broj materijala koji identificira nabavljenu stavku ili opremu.","Links accounting entries to specific CPE items in material master. Enables equipment-level cost tracking, asset lifecycle analysis, and procurement spend categorization for network infrastructure components.","000000000000100001","materials","sap_standard","0"
"BSEG","SHKZG","CHAR","1","Debit/credit indicator for the accounting entry.","Indikator duguje/potražuje za računovodstvenu stavku.","Determines posting direction: S=Debit, H=Credit. Essential for double-entry bookkeeping validation and automated reconciliation processes in procurement-to-pay workflows and vendor account management.","S","finance","sap_standard","0"
"BSEG","WAERS","CHAR","5","Currency key for the transaction amount.","Ključ valute za iznos transakcije.","ISO currency code (EUR, USD, HRK, etc.) that corresponds to WRBTR amount. Critical for multi-currency vendor management and international CPE procurement where currency risks and conversion rates must be tracked.","EUR","finance","sap_standard","0"
"BSEG","WERKS","CHAR","4","Plant code representing the physical location or organizational unit.","Šifra pogona koja predstavlja fizičku lokaciju ili organizacijsku jedinicu.","Organizational dimension linking financial postings to specific HT facilities, regions, or network sites. Essential for location-based procurement analytics and regional CPE deployment cost tracking.","1000","org_structure","sap_standard","0"
"BSEG","WRBTR","CURR","13","Amount in transaction currency as originally posted.","Iznos u valuti transakcije kako je originalno knjižen.","Original transaction amount before currency conversion. Critical for multi-currency procurement scenarios and vendor payment processing where exchange rate fluctuations must be tracked and managed.","1000.00","finance","sap_standard","0"
"EBAN","BADAT","DATE","8","Requisition date when the purchase requisition was created.","Datum zahtjeva kada je kreiran zahtjev za nabavu.","Document creation date in YYYYMMDD format. Key temporal dimension for procurement reporting and lead time analysis. Differs from delivery date (EINDT) which represents when material is needed.","20240115","procurement","sap_standard","0"
"EBAN","BANFN","CHAR","10","Purchase requisition number uniquely identifying the requisition document.","Broj zahtjeva za nabavu koji jedinstveno identificira dokument zahtjeva.","Primary identifier for purchase requisitions in SAP MM. Links to purchase orders (EBELN) and serves as the main reference for requisition-to-order tracking. Format typically 10-digit numeric string.","0010000123","procurement","sap_standard","0"
"EBAN","BNFPO","NUMC","5","Purchase requisition item number within the requisition document.","Broj stavke zahtjeva za nabavu unutar dokumenta zahtjeva.","Line item number within a purchase requisition, typically incrementing by 10 (00010, 00020, etc.). Combined with BANFN forms the complete primary key for requisition items.","00010","procurement","sap_standard","0"
"EBAN","EKGRP","CHAR","3","Purchasing group responsible for processing this requisition.","Nabavna grupa odgovorna za obradu ovog zahtjeva.","Organizational unit responsible for vendor negotiation and purchase order creation. Links to purchasing group master data (T024). In CPE procurement, typically organized by equipment category or regional responsibility.","001","org_structure","sap_standard","0"
"EBAN","EKORG","CHAR","4","Purchasing organization with authority to procure this material.","Nabavna organizacija s ovlaštenjem za nabavu ovog materijala.","Highest organizational level for procurement decisions, determining vendor contracts and pricing conditions. Links to organizational master data and vendor master records. Critical for CPE vendor management and contract assignment.","1000","org_structure","sap_standard","0"
"EBAN","ERNAM","CHAR","12","User name of the person who created the purchase requisition.","Korisničko ime osobe koja je kreirala zahtjev za nabavu.","SAP user ID of the requisition creator, linking to user master data. Used for tracking procurement initiation patterns, user training needs, and approval routing in CPE equipment requests.","JSMITH","workflow","sap_standard","0"
"EBAN","ESTKZ","CHAR","1","Creation indicator showing how the purchase requisition was created.","Indikator kreiranja koji pokazuje kako je kreiran zahtjev za nabavu.","Creation type flag: blank=manual, X=automatic (MRP), B=from sales order, etc. Important for understanding procurement triggers and optimizing automatic vs manual CPE equipment ordering processes.","X","procurement","sap_standard","0"
"EBAN","FRGDT","DATE","8","Release date when the purchase requisition was approved for processing.","Datum otpuštanja kada je zahtjev za nabavu odobren za obradu.","Date when requisition passed all approval workflows and became available for purchase order creation. Critical for procurement cycle time measurement and identifying approval bottlenecks in CPE equipment procurement.","20240118","workflow","sap_standard","0"
"EBAN","LGORT","CHAR","4","Storage location where the requisitioned material will be received.","Mjesto skladištenja gdje će se primiti zatraženi materijal.","Storage location within the plant for inventory placement after goods receipt. Critical for CPE equipment tracking and field technician inventory management. Must exist in combination with plant (WERKS).","0001","inventory","sap_standard","0"
"EBAN","MATNR","CHAR","18","Material number identifying the requested material or service.","Broj materijala koji identificira traženi materijal ili uslugu.","Standard SAP material master key linking to material master data (MARA, MARC). For CPE equipment, identifies specific device models, accessories, or services. Zero-padded 18-character format.","000000000000100001","materials","sap_standard","0"
"EBAN","MEINS","UNIT","3","Base unit of measure for the requested material quantity.","Osnovna mjerna jedinica za količinu zatraženog materijala.","Unit of measure from SAP unit master (T006). Common values for CPE: PC (pieces), M (meters), KG (kilograms), H (hours). Must be consistent with material master unit settings.","PC","materials","sap_standard","0"
"EBAN","MENGE","QUAN","13","Quantity of material requested in base unit of measure.","Količina zatraženog materijala u osnovnoj mjeri.","Requested quantity in the material's base unit (MEINS). For CPE equipment, typically represents number of devices, cables, or service hours. Used for purchase order creation and budget planning.","5.000","procurement","sap_standard","0"
"EBAN","PREIS","CURR","11","Estimated or target price per unit for the requested material.","Procijenjena ili ciljna cijena po jedinici za zatraženi materijal.","Price per unit in document currency, used for budget estimation and purchase order limits. May come from material master, info records, or manual entry. Critical for procurement approval workflows.","125.50","finance","sap_standard","0"
"EBAN","STATU","CHAR","1","Processing status of the purchase requisition item.","Status obrade stavke zahtjeva za nabavu.","Current processing state: blank=open, B=PO created, A=assigned to contract, etc. Critical for tracking requisition-to-order conversion and identifying stuck CPE equipment requests in procurement workflows.","B","workflow","sap_standard","0"
"EBAN","WERKS","CHAR","4","Plant code identifying the requesting organizational unit.","Šifra pogona koji identificira organizacijsku jedinicu koja postavlja zahtjev.","Manufacturing or service plant where the material is needed. In CPE procurement, typically represents regional service centers or warehouses. Links to organizational master data and determines procurement rules.","1000","org_structure","sap_standard","0"
"EBKN","BANFN","CHAR","10","Purchase requisition number serving as unique identifier for procurement requests.","Broj zahtjeva za nabavku koji služi kao jedinstveni identifikator za zahtjeve za nabavku.","Primary key for purchase requisitions in SAP MM. Links to EBAN table for requisition header data. Used to track procurement requests from initial need identification through purchase order creation.","0010000001","procurement","sap_standard","0"
"EBKN","BNFPO","NUMC","5","Purchase requisition item number identifying specific line items within a requisition.","Broj stavke zahtjeva za nabavku koji identificira specifične stavke unutar zahtjeva.","Part of composite primary key with BANFN. Represents individual line items on purchase requisitions, typically numbered 00010, 00020, 00030. Links to EBAN table for requisition item details.","00010","procurement","sap_standard","0"
"EBKN","KOSTL","CHAR","10","Cost center code identifying organizational unit responsible for costs.","Šifra mjesta troška koja identificira organizacijsku jedinicu odgovornu za troškove.","Cost center that will bear the expense when requisition is fulfilled. Key dimension for management accounting and budgeting. Links to CSKS table for cost center master data. Enables procurement cost analysis by organizational responsibility.","1000","finance","sap_standard","0"
"EBKN","SAKTO","CHAR","10","General ledger account number for financial posting and cost allocation.","Broj računa glavne knjige za financijsko knjiženje i alokaciju troškova.","GL account that will be charged when the requisition is fulfilled. Critical for financial control and reporting. Links to chart of accounts (SKA1/SKB1 tables). Enables cost tracking across procurement activities.","0000400000","finance","sap_standard","0"
"EKBE","BELNR","CHAR","10","Reference document number linking to source transaction document.","Broj referentnog dokumenta koji povezuje izvorni transakcijski dokument.","Document number of the originating transaction (goods receipt, invoice, service entry sheet). Forms part of the key linking purchase history to actual operational documents. Enables audit trail from PO to final settlement.","5000000123","cross_domain","sap_standard","0"
"EKBE","BUDAT","DATE","8","Posting date when the transaction was recorded in the system.","Datum knjiženja kada je transakcija zabilježena u sustavu.","Business date when the procurement transaction occurred and was posted to the system. Used for period-based reporting, aging analysis, and determining fiscal periods. Critical for procurement performance metrics and compliance tracking.","20241201","cross_domain","sap_standard","0"
"EKBE","BUZEI","NUMC","3","Reference document line item number within the source document.","Broj stavke referentnog dokumenta u okviru izvornog dokumenta.","Line item number within the reference document (BELNR) that corresponds to this purchase history entry. Together with BELNR provides precise linkage to specific line items in goods receipts, invoices, or service entries.","001","cross_domain","sap_standard","0"
"EKBE","BWART","CHAR","3","Movement type code classifying the type of goods or inventory movement.","Kod tipa kretanja koji klasificira tip kretanja robe ili zaliha.","Three-digit code that categorizes inventory and procurement movements. Common values: 101=GR for PO, 102=GR Reversal, 161=Returns to Vendor, 543=Transfer Posting. Critical for procurement analytics to distinguish between receipts, returns, and transfers.","101","inventory","sap_standard","0"
"EKBE","DMBTR","CURR","13","Amount in local currency for the procurement transaction value.","Iznos u lokalnoj valuti za vrijednost nabavne transakcije.","Monetary value of the procurement transaction converted to local currency. Used for financial reporting, budget tracking, and spend analysis. Always stored alongside currency key (WAERS) to maintain currency context for proper aggregation.","1250.00","finance","sap_standard","0"
"EKBE","EBELN","CHAR","10","Purchase document number identifying the purchase order.","Broj nabavnog dokumenta koji identificira nabavnu narudžbu.","Unique identifier for purchase orders, purchase requisitions, and other procurement documents. Used as primary key to link procurement transactions across different SAP tables. Format is typically 10-digit alphanumeric.","4500000001","procurement","sap_standard","0"
"EKBE","EBELP","NUMC","5","Purchase document item number within the purchase order.","Broj stavke nabavnog dokumenta u okviru nabavne narudžbe.","Line item number that uniquely identifies individual items within a purchase document. Combined with EBELN forms the complete key for purchase order line items. Typically increments by 10 (00010, 00020, 00030).","00010","procurement","sap_standard","0"
"EKBE","GJAHR","NUMC","4","Fiscal year of the transaction or document posting.","Fiskalna godina transakcije ili knjiženja dokumenta.","Four-digit fiscal year used for period-based reporting and archiving. May differ from calendar year depending on company's fiscal calendar. Essential for year-over-year procurement analytics and compliance reporting.","2024","finance","sap_standard","0"
"EKBE","MENGE","QUAN","13","Quantity amount for the procurement transaction in base unit of measure.","Količina za nabavnu transakciju u osnovnoj mjerni jedinici.","Quantity delivered, invoiced, or confirmed for the purchase order item. Used to track delivery performance, calculate variances against ordered quantities, and measure procurement volumes. Always expressed in the base unit of measure for the material.","5.000","procurement","sap_standard","0"
"EKBE","VGABE","CHAR","1","Transaction/event type code for purchase order history records.","Kod tipa transakcije/događaja za povijesne zapise nabavnih narudžbi.","Classifies the type of procurement transaction or event recorded in the history. Common values: 1=Goods Receipt, 2=Invoice Receipt, 3=Service Entry, Q=Confirmation. Used to filter and analyze different procurement activities.","1","procurement","sap_standard","0"
"EKBE","WAERS","CUKY","5","Currency key identifying the currency for monetary amounts.","Ključ valute koji identificira valutu za novčane iznose.","ISO currency code that defines the currency for associated monetary fields like DMBTR. Essential for multi-currency procurement operations and proper financial consolidation. Standard 3-character ISO codes like EUR, USD, HRK.","EUR","finance","sap_standard","0"
"EKBE","ZEKKN","NUMC","2","Sequential number of account assignment for the purchase order item.","Sekvencijski broj dodjele računa za stavku nabavne narudžbe.","Sequential counter for account assignment splits within a purchase order line item. Allows single PO items to be charged to multiple cost centers or accounts. Part of the primary key for purchase history records.","01","procurement","sap_standard","0"
"EKET","EBELN","CHAR","10","Purchase document number that uniquely identifies a purchase order.","Broj nabavnog dokumenta koji jedinstveno identificira narudžbu.","Primary identifier for purchase orders in SAP MM. Links delivery schedules to their parent purchase order. Format is typically 10-digit numeric padded with leading zeros.","4500000001","procurement","sap_standard","0"
"EKET","EBELP","NUMC","5","Purchase document item number identifying a specific line item within a purchase order.","Broj stavke nabavnog dokumenta koji identificira specifičnu stavku unutar narudžbe.","Line item number within a purchase order, part of the compound key for purchase order items. Typically increments by 10 (00010, 00020, 00030) to allow for intermediate insertions.","00010","procurement","sap_standard","0"
"EKET","EINDT","DATS","8","Delivery date when goods are expected to be delivered according to the schedule line.","Datum isporuke kada se očekuje da će roba biti isporučena prema liniji rasporesa.","Planned delivery date for this specific schedule line. Critical for procurement planning and vendor performance tracking. Used in delivery monitoring and expediting processes.","20241215","procurement","sap_standard","0"
"EKET","ETENR","NUMC","4","Delivery schedule line number for planned deliveries within a purchase order item.","Broj linije rasporeda isporuke za planisane isporuke unutar stavke narudžbe.","Sequential number identifying individual delivery schedule lines for a purchase order item. Allows splitting deliveries across multiple dates and quantities. Part of the compound primary key for table EKET.","0001","procurement","sap_standard","0"
"EKET","MENGE","QUAN","13","Scheduled quantity to be delivered on the specified delivery date.","Planirana količina za isporuku na navedeni datum isporuke.","Quantity planned for delivery in this schedule line, expressed in the purchase order unit of measure. Sum of all schedule line quantities typically equals the total order quantity for the item.","100.000","procurement","sap_standard","0"
"EKET","WEMNG","QUAN","13","Quantity of goods already received against this delivery schedule line.","Količina robe već primljene protiv ove linije rasporea isporuke.","Actual received quantity for this schedule line, updated through goods receipt transactions. Difference between MENGE and WEMNG shows outstanding delivery quantity. Used for delivery completion tracking.","75.000","goods_receipt","sap_standard","0"
"EKKN","EBELN","CHAR","10","Purchase order number serving as unique identifier for procurement documents.","Broj nabavnog naloga koji služi kao jedinstveni identifikator nabavnih dokumenata.","Primary key field that uniquely identifies a purchase order in the SAP system. Used extensively for joining with other procurement tables like EKKO (PO header) and EKPO (PO items). Format typically follows sequential numbering pattern like 4500000001.","4500000001","procurement","sap_standard","0"
"EKKN","EBELP","NUMC","5","Purchase order item number identifying individual line items within a purchase order.","Broj stavke nabavnog naloga koji identificira pojedinačne stavke unutar nabavnog naloga.","Part of compound primary key with EBELN, uniquely identifying each line item within a purchase order. Sequential numbering typically starts at 00010, 00020, etc. Essential for granular procurement analysis at item level.","00010","procurement","sap_standard","0"
"EKKN","KOSTL","CHAR","10","Cost center code for organizational cost allocation and reporting.","Šifra centra troška za organizacijsku rasporedbu troškova i izvještavanje.","Organizational dimension enabling cost allocation to specific business units or departments. In telecom CPE context, typically represents technical departments, regional offices, or customer service centers receiving equipment. Essential for P&L analysis by organizational unit.","1000100001","org_structure","sap_standard","0"
"EKKN","SAKTO","CHAR","10","General ledger account number for financial posting and cost accounting.","Broj glavne knjige za financijsko knjiženje i upravljanje troškovima.","Links procurement transactions to specific G/L accounts in the chart of accounts. Critical for financial reporting and cost analysis. In CPE procurement context, typically maps to asset accounts for equipment purchases or expense accounts for services.","6200001000","finance","sap_standard","0"
"EKKN","ZEKKN","NUMC","2","Sequential number for account assignment within a purchase order item.","Sekvencijski broj za rasporedbu na račune unutar stavke nabavnog naloga.","Third component of compound primary key, enabling multiple account assignments per PO item. Allows splitting costs across different G/L accounts, cost centers, or projects. Sequential numbering typically 01, 02, etc.","01","procurement","sap_standard","0"
"EKKO","AEDAT","DATE","8","Last Changed Date","Datum zadnje promjene","Last modification date of PO header","20260120","procurement","existing","0"
"EKKO","BANFN","","","Purchase requisition number that originated this purchasing document.","","Links purchase orders back to their originating purchase requisitions, enabling full procure-to-pay traceability. Key for analyzing requisition-to-order conversion rates and approval cycle times in CPE procurement workflows.","0010000123","procurement","source_column_roles","0"
"EKKO","BEDAT","DATE","8","PO Date","Datum narudžbenice","Date when PO was created","20260115","procurement","existing","0"
"EKKO","BSART","CHAR","4","Purchasing Document Type","Vrsta dokumenta nabave","NB=Standard PO FO=Framework Order UB=Stock Transfer","NB","procurement","existing","0"
"EKKO","BSTYP","CHAR","1","Purchasing Document Category","Kategorija dokumenta nabave","F=PO K=Contract L=Scheduling Agreement","F","procurement","existing","0"
"EKKO","BUKRS","CHAR","4","Company code that identifies the legal entity for accounting purposes.","Šifra poduzeća koja identificira pravnu osobu za potrebe računovodstva.","Standard organizational dimension used for financial reporting and legal entity segregation. In HT context, typically represents different subsidiaries or business units within the Helios Telecom Group structure.","1000","org_structure","sap_standard","0"
"EKKO","EBELN","CHAR","10","Purchasing Document Number","Broj dokumenta nabave","Unique identifier for purchase order","4500000001","procurement","existing","0"
"EKKO","EKGRP","CHAR","3","Purchasing Group","Grupa nabave","Buyer group responsible for procurement","001","org_structure","existing","0"
"EKKO","EKORG","CHAR","4","Purchasing Organization","Organizacija nabave","Organizational unit for procurement","HT01","org_structure","existing","0"
"EKKO","ERNAM","CHAR","12","User ID of the person who created the purchasing document.","ID korisnika osobe koja je kreirala dokument nabave.","Standard audit field capturing document creator for compliance and workflow analysis. Used to track purchasing activity by user and identify document ownership in approval processes.","JNOVAK","workflow","sap_standard","0"
"EKKO","KDATB","DATE","8","Start date of the validity period for the purchasing document.","","Defines the beginning of the validity period for purchase orders or contracts. Used in contract management to determine when purchasing terms become effective.","20240315","procurement","column_name_convention","0"
"EKKO","KDATE","DATE","8","End date of the validity period for the purchasing document.","","Defines the end of the validity period for purchase orders or contracts. Critical for contract lifecycle management and automatic expiration of purchasing agreements.","20241231","procurement","column_name_convention","0"
"EKKO","LIFNR","CHAR","10","Vendor Account Number","Broj konta dobavljača","Links to LFA1 vendor master","0000100001","procurement","existing","0"
"EKKO","PROCSTAT","","","Processing status indicator for the purchasing document workflow.","","Status field indicating current stage in procurement workflow such as created, approved, released, or completed. Used for workflow management and reporting on document processing progress.","05","workflow","source_column_roles","0"
"EKKO","RLWRT","","","Release value or threshold amount for purchasing document approval.","","Monetary threshold used in approval workflow to determine required authorization levels. Higher values may require additional approvals based on company purchasing policies and delegation matrix.","50000.00","workflow","source_column_roles","0"
"EKKO","WAERS","CUKY","5","Currency key that specifies the currency for all amounts in the purchasing document.","Ključ valute koji specificira valutu za sve iznose u dokumentu nabave.","Standard currency dimension used for financial calculations and reporting. Links to currency conversion tables for multi-currency procurement analysis. Common values: EUR, USD, HRK for Helios Telecom operations.","EUR","finance","sap_standard","0"
"EKKO","WKURS","DEC","9","Exchange rate used for currency conversion in the purchasing document.","","Exchange rate applied when converting foreign currency amounts to local currency. Used for financial reporting and cost analysis in multi-currency procurement scenarios.","1.05000","finance","column_name_convention","0"
"EKPO","BANFN","CHAR","10","Purchase requisition number linking to originating request.","Broj zahtjeva za nabavu koji povezuje s izvornim zahtjevom","References the purchase requisition that initiated this purchase order item. Critical for audit trail and document flow tracing from requirement through procurement to goods receipt. Links to EBAN table.","0010000001","procurement","sap_standard","0"
"EKPO","BNFPO","NUMC","5","Purchase requisition item number within the requisition.","Broj stavke zahtjeva za nabavu unutar zahtjeva","Line item number within the purchase requisition referenced by BANFN. Together with BANFN forms unique key to requisition item. Enables traceability from PO back to original business requirement.","00010","procurement","sap_standard","0"
"EKPO","BPRME","UNIT","3","Order price unit for price per unit calculations.","Jedinica cijene narudžbe za izračune cijene po jedinici","Unit of measure for price calculations, typically matching base unit but may differ for pricing purposes. Used with NETPR field to determine actual unit price. Essential for multi-unit material pricing scenarios.","ST","procurement","sap_standard","0"
"EKPO","EBELN","CHAR","10","Purchasing Document Number","Broj dokumenta nabave","Links to EKKO header","4500000001","procurement","existing","0"
"EKPO","EBELP","NUMC","5","Item Number","Broj stavke","Line item within PO","00010","procurement","existing","0"
"EKPO","ELIKZ","CHAR","1","Delivery completed indicator for purchase order item.","Indikator završene dostave za stavku narudžbenice","Flag indicating whether delivery is complete for this PO item. 'X'=Delivery complete, blank=Open for delivery. Used in procurement reporting and automatic PO closure processing.","X","procurement","sap_standard","0"
"EKPO","LGORT","CHAR","4","Storage Location","Lokacija skladišta","Storage location within plant","HT11","org_structure","existing","0"
"EKPO","MATKL","CHAR","9","Material group for categorizing materials by type.","Grupa materijala za kategorizaciju materijala po vrsti","Groups materials into categories for procurement, pricing, and analysis purposes. Essential dimension for spend analysis and vendor negotiations. Links to material group master data for detailed descriptions.","10000001","materials","sap_standard","0"
"EKPO","MATNR","CHAR","18","Material Number","Broj materijala","Links to MARA material master","CPE-RTR-001","materials","existing","0"
"EKPO","MEINS","UNIT","3","Unit of Measure","Jedinica mjere","Base unit for the material","ST","procurement","existing","0"
"EKPO","MENGE","QUAN","13","PO Quantity","Količina narudžbenice","Ordered quantity","100.000","procurement","existing","0"
"EKPO","NETPR","CURR","11","Net Price","Neto cijena","Price per unit in document currency","45.50","procurement","existing","0"
"EKPO","NETWR","CURR","13","Net Value","Neto vrijednost","Total value of line item","4550.00","procurement","existing","0"
"EKPO","PSTYP","CHAR","1","Item category type defining purchase order item behavior.","Tip kategorije stavke koji definira ponašanje stavke narudžbenice","Controls item processing rules like goods receipt requirement, invoice verification, and account assignment. Common values include '0'=Standard item, '1'=Consignment, '2'=Subcontracting, '3'=Stock transfer.","0","procurement","sap_standard","0"
"EKPO","TXZ01","CHAR","40","Short text description for purchase order item.","Kratki tekstni opis stavke narudžbenice","Contains brief descriptive text for the purchase order line item, typically material description or service text. Used for display and reporting purposes when material master description is not sufficient.","Router Cisco ISR 4331","procurement","sap_standard","0"
"EKPO","WERKS","CHAR","4","Plant","Pogon","Receiving plant/warehouse","HT10","org_structure","existing","0"
"EQBS","BEGDT","DATS","8","Begin date indicating when equipment status becomes valid or effective.","Datum početka koji označava kada status opreme postaje važeći ili na snazi.","Standard SAP validity date field marking the start of equipment status validity period. Used in time-dependent equipment status tracking and historical analysis. Part of SAP's standard date range concept (BEGDT-ENDDT).","20240115","equipment","sap_standard","0"
"EQBS","EQUNR","CHAR","18","Equipment number serving as unique identifier for equipment objects.","Broj opreme kao jedinstveni identifikator za objekte opreme.","Primary key for equipment master data in SAP PM module. Used to link equipment records across functional areas including procurement, maintenance, and asset management. Format follows SAP equipment numbering scheme with leading zeros.","000000000000010001","equipment","sap_standard","0"
"EQBS","STAT_DESC","","","Status description providing human-readable label for equipment status codes.","","Descriptive text corresponding to equipment status codes, making technical status values more accessible to business users. Typically derived from status configuration tables and supports multilingual display in SAP system status management.","In Service - Operational","equipment","source_column_roles","0"
"EQBS","USTXT","","","User text providing descriptive information about equipment status or condition.","","Free-form text field allowing users to add contextual information about equipment status changes. Commonly used for maintenance notes, status change reasons, or operational remarks that supplement coded status values.","Equipment ready for deployment after testing","equipment","source_column_roles","0"
"EQUI","EQART","CHAR","10","Equipment category defining the type and characteristics.","Vrsta opreme","Classification code that defines equipment characteristics, maintenance requirements, and business rules. Used for grouping similar equipment types in analytics and determining applicable maintenance strategies for CPE assets.","SWITCH","equipment","sap_standard","0"
"EQUI","EQUNR","CHAR","18","Equipment Number","Broj opreme","Unique CPE device identifier (often = serial number)","CPE-2026-000001","equipment","existing","0"
"EQUI","ERDAT","DATE","8","Date when the equipment record was created in SAP.","Datum kreiranja","Standard SAP creation date field indicating when the equipment master record was first entered into the system. Critical for tracking equipment lifecycle timing and procurement-to-deployment lead times.","20240315","equipment","sap_standard","0"
"EQUI","ERNAM","CHAR","12","User ID who created the equipment record.","Kreirao korisnik","Standard SAP field capturing the user ID of the person who created the equipment master record. Used for audit trails, data quality tracking, and user activity analysis in equipment management workflows.","JNOVAK","equipment","sap_standard","0"
"EQUI","GEWRK","CHAR","8","Maintenance work center responsible for the equipment.","Radno mjesto održavanja","Organizational unit responsible for maintenance activities on this equipment. Links to work center master data for maintenance planning, resource allocation, and operational responsibility assignment in equipment lifecycle management.","NET001","equipment","sap_standard","0"
"EQUI","HERST","CHAR","30","Manufacturer or vendor code for the equipment.","Proizvođač","Identifies the manufacturer or supplier of the equipment. Used for vendor analysis, warranty tracking, and procurement analytics. Links to vendor master data for supplier performance evaluation.","CISCO","equipment","sap_standard","0"
"EQUI","INBDT","DATE","8","Start-up Date","Datum puštanja u rad","Date CPE was installed at customer premises","20260201","equipment","existing","0"
"EQUI","MATNR","CHAR","18","Material Number","Broj materijala","Links to MARA material master","CPE-RTR-001","equipment","existing","0"
