id,date,decision,hypothesis,what_we_did,what_happened,conclusion,version,never_repeat,reverted
13,2026-04-14,governance_streamlit_pages,Build data governance UI in Streamlit,Created 2 new pages: 06_business_glossary (term detail with source/target profiling live lineage ABAP cross-reference and approve/deny workflow) and 07_data_lineage (architecture overview DV design ABAP catalog SAP dictionary).,All 7 pages syntax-validated. All seed and knowledge queries resolve. Streamlit server boots healthy on 8501. Business owner can browse terms view S2T mapping (plain language + SQL) live source/target profiles review lineage and approve/deny with comments. Data analyst can browse ABAP code DV design and full SAP data dictionary.,Fixed page 7 layer->pipeline matching (spec had substring bug that missed vault/knowledge). Added denied status color. denied status is new enum — build_knowledge_wiki.py buckets only approved/draft so denied terms invisible in wiki index (cosmetic backlog).,v0.9.0,false,false
14,2026-04-14,claude_api_integration,Integrate Claude API into Streamlit for AI-assisted S2T mapping,Added app/claude_api.py that POSTs business term + SAP dictionary + ABAP catalog + existing glossary + existing S2T to api.anthropic.com/v1/messages. Response parsed as structured JSON (sources/joins/filters/transformation_plain/sql/target/warnings/confidence). Page 06 unmapped-term branch renders Ask-Claude button; suggestion appears as editable tables + text areas; Accept writes rows to s2t_mapping.csv.,Syntax/import checks pass. Graceful degradation confirmed: no API key returns {error: 'ANTHROPIC_API_KEY not set'} without network call. Streamlit boots healthy on 8501. .env confirmed in .gitignore at line 5. Installed requests into venv.,AI-powered governance differentiator complete. Claude replaces manual SAP consulting work of identifying source tables and writing transformation logic. Combined with auto-profiling and approval workflow the Collibra replacement is end-to-end.,v1.0.0,false,false
15,2026-04-14,full_glossary_alignment,Align all dashboard metrics with business glossary,Added 15 new business terms (BG011-BG025) and 16 new S2T mapping rows. Created components/metric_card.py with metric_with_info() helper. Updated 5 analytical pages to replace st.metric with metric_with_info — every KPI now has either a glossary term_id (full tooltip with definition + sources + transformation) or an inline help_text. Also changed sidebar Data loaded timestamp to honest 'Sample data: 2024-01 to 2026-03'.,Business Glossary now has 25 terms (was 10). S2T mapping has 33 rows (was 17). Every dashboard metric has either a business term ID linked or an inline help string. Sidebar branding no longer implies live data refresh.,Self-documenting data product complete. Any business user can hover any KPI and see definition + source tables + transformation in one tooltip. Honest sample data caveat in sidebar.,v1.1.0,false,false
16,2026-04-14,business_glossary_audience_split,Business users and data analysts need different views of the same business term,"Split Term Detail into two tabs: business-friendly Term Detail (plain language lineage, summary profiling) and technical S2T Specification (6-node flow diagram, source tables, SAP dict, SQL, ABAP, full profiling, Ask-Claude fallback). Shared term selector via st.session_state keeps the selected term in sync across tabs.",Business users get an uncluttered view with no SQL/table/layer jargon; analysts retain every technical artifact in one place. Visual QA screenshots saved for BG001 (mapped) and BG007 TCO (unmapped) in both views.,Two-audience split is the default pattern for any governance UI in this project. Never collapse back into a single tab.,v1.2.0,false,false
17,2026-04-15,link_po_item_unit_of_work,Resolve DV 2.0 orphan-grain finding V6c — sat_po_schedule and sat_po_account had no parent link exposing hk_po_item,Created dbt/models/vault/link_po_item.sql as a unit-of-work link with PK hk_po_item and parent hk_purchase_order sourced from stg_sap__ekpo (EBELN+EBELP grain). Added schema.yml entry with not_null+unique on hk_po_item and not_null on hk_purchase_order. Ran dbt run + dbt test — all 3 tests PASS. Verified all 3 orphan checks return 0.,link_po_item has 2200 rows matching both satellites. Both sat_po_schedule and sat_po_account now reach a proper parent via hub → link_po_item → satellite. Vault is fully self-contained — no more staging piercing required for downstream joins.,Every PO-item grain satellite must hang off link_po_item. Never create a satellite parented on a hash key that does not exist as a PK in a hub or link.,v1.2.1,true,false
18,2026-04-16,approval_status_never_automated,Never automate business_glossary.status changes — technical deployment and business approval are separate concerns,Deploy-models button initially auto-set status=approved when user only asked for S2T + dbt model creation. Automated approval bypasses the human governance review that the status field represents.,Follow-up fix required: removed glossary status change from deploy button. Approval remains a manual data owner action via the glossary edit form.,Technical deployment (S2T rows + dbt models + pipeline) must never touch business_glossary.status. That field is a human governance gate. An approved flag set by code is worthless governance theatre.,v1.3.0,true,false
19,2026-04-16,end_of_task_seeds_scanner_outputs,end_of_task.py now seeds scanner outputs (dbt_column_lineage dbt_model_catalog dbt_model_relationships) into DuckDB before Parquet export,Scanner CSVs were written to disk but not loaded into DuckDB. Parquet export read stale DuckDB tables so Streamlit showed no column lineage for newly deployed models.,Added dbt seed --select step between scanner writes and Parquet export in end_of_task.py. All callers of end_of_task.py now get fresh lineage data without manual intervention.,end_of_task.py is self-contained: scan -> seed scanner outputs -> export Parquet. No manual dbt seed needed after running it.,v1.3.1,false,false
20,2026-04-16,profiling_cache_and_sql_retry,Added profiling cache + LLM SQL self-healing retry to Data Analysis page,Guided Analysis re-profiled tables from scratch for every term. SQL errors from hallucinated columns (e.g. BUDAT in MSEG) left users stuck. Added: (1) profiling_cache scope in data_qa_log.csv keyed by tables_used so profile queries are shared across terms (2) llm_retry_on_error() in claude_api.py that captures SQL errors and asks Claude to fix using actual schema from information_schema (3) silent retry UX with subtle caption on success.,Profiling cache avoids redundant LLM calls. SQL retry heals column hallucinations silently. data_qa_log.csv extended with scope/retry_count/original_sql columns.,Cross-term profiling cache lives in data_qa_log with scope=profiling. SQL retry max 3 attempts with actual schema context. Silent UX — no intermediate retry messages.,v1.3.0,false,false
21,2026-04-16,atomic_deploy_button,Deploy models button runs real dbt pipeline with atomic rollback,Replaced fake file-only handler with real subprocess pipeline: write S2T rows (sql empty per Rule 1) -> create .sql files -> dbt seed -> dbt run --select -> dbt test --select -> end_of_task.py. Uses st.status with live step updates. 5-minute timeout per step. On any failure: rollback S2T rows + delete .sql files. Debug log written to deploy_debug.log.,Tested end-to-end: success path ~110s with all steps visible. Rollback triggers correctly when dbt encounters broken ref(). Does not touch business_glossary.status (Rule 22).,Deploy button is a real pipeline not a file-only shortcut. Deployment takes 1-2 minutes which is expected for dbt compilation.,v1.3.0,false,false
22,2026-04-16,sync_s2t_rule14_enforcement,sync_s2t_from_dbt.py now enforces full Rule 14 — deletes orphan S2T rows and inserts placeholders for new dbt output columns,S2T mapping had rows with target_column values not in the dbt model output (e.g. purchase_order_number in S2T but model aggregates to accuracy_percentage). sync_s2t_from_dbt.py only updated SQL for matching columns but left orphans untouched. Streamlit showed no SQL captured / no lineage for mismatched columns.,Added Rule 14 enforcement: (1) delete S2T rows where target_column not in dbt output (2) insert placeholder rows for new model output columns with empty business_rule and notes=needs business rule authorship (3) log all changes to s2t_sync_warnings.log. Scoped to models where orphans were found to avoid placeholder explosion.,sync_s2t_from_dbt.py fully enforces Rule 14: dbt model output columns are authoritative. S2T mapping rows auto-align on every end_of_task run. Orphan target_columns are deleted not silently ignored.,v1.3.2,false,false
23,2026-04-16,scanner_cte_expression_tracing,Column lineage scanner traces CTE expressions and records transformation_chain,_resolve_cte_column() now returns 4-tuple (origin_table origin_column expression chain). Expression = outermost non-trivial (for classification). Chain = all non-trivial expressions deepest→outermost (for lineage visualization). Re-classification only overrides 'direct' — non-direct outer expressions preserved. 15 columns improved from direct to correct type. Zero regressions vs original baseline.,Added transformation_chain and transformation_chain_plain columns to dbt_column_lineage.csv. 34 columns have chains with LLM-generated plain-language labels. Outer SELECT expression appended as final chain step when non-trivial (18 multi-step chains).,Scanner CTE resolution: origin from deepest level + expression from outermost non-trivial level + chain of all non-trivial levels. Classification only overrides direct. Chain enables multi-step lineage visualization.,v1.3.3,false,false
24,2026-04-17,business_audience_descriptions,Separate business-audience descriptions for Term Detail tab (Rule 7 enforcement),Term Detail showed technical descriptions with SAP field names and pipeline jargon. Added transformation_logic_plain_business column to s2t_mapping.csv + business_join_description and business_filter_description columns to business_glossary.csv. New BUSINESS_SYSTEM_PROMPT forbids table names field names and technical terms. LLM generates per-term scoped join/filter descriptions from compiled SQL + column list.,40 business descriptions generated for all S2T rows. 24 term-scoped join/filter descriptions generated. Term Detail now shows pure business language. S2T Specification keeps technical descriptions unchanged.,Rule 7 fully enforced: Term Detail = business audience (no SQL no table names). S2T Specification = technical audience (full SQL field names). Both derive from same dbt code via different LLM prompts.,v1.4.0,false,false
25,2026-04-17,wiki_pages_streamlit,Added Wiki Pages browser to Streamlit app under Documentation section,knowledge/ directory had 53 auto-generated markdown files but no way to browse them in the app. Created app/pages/Wiki_Pages.py with 8 category tabs + left panel page list with search + right panel styled markdown content. Added to navigation as Documentation > Wiki Pages.,Wiki Pages reads from knowledge/ subdirectories. Custom dark-theme CSS for headings tables blockquotes code. Category tabs with page counts. Lazy-loaded with @st.cache_data(ttl=300). Saved domain reports appear automatically in Domain tab.,Auto-generated wiki is browsable in-app. No editing — wiki regenerates from seeds. knowledge/domain/ reports from Domain Report tab appear in Wiki Pages automatically.,v1.4.0,false,false
26,2026-04-17,dq_tab_execute_tests,DQ tab now executes tests instead of hardcoding green checkmarks,DQ tab showed hardcoded checkmark icon for every test without running it. Term Detail correctly executed tests showing real PASS/FAIL. Created shared execute_dq_test() function used by both pages. DQ tab now shows summary bar + per-test PASS/FAIL with violation counts.,Both pages agree on all test results. 146 violations correctly shown for assert_po_value_not_exceeding_50000 on both tabs. No more hardcoded icons anywhere.,DQ results must always come from execute_dq_test() — never hardcoded icons. Both Term Detail and DQ tab use the same shared function and same Parquet-backed connection.,v1.4.0,false,false
27,2026-04-17,domain_report_persistence,Domain Report tab persists LLM narrative to knowledge/domain/ markdown + domain_reports.csv with staleness detection,Domain Report was session-only — lost on page reload. Rewrote tab: saves narrative to knowledge/domain/{domain}_report.md with YAML frontmatter + metadata to domain_reports.csv seed. Staleness detection via findings_hash + count comparison. Removed Live Summary section — single LLM narrative only.,Report persists across sessions. Staleness indicator shows current/stale/no-report states. Saved reports appear in Wiki Pages Domain tab automatically. Regeneration is on-demand only — never automatic.,Domain Reports are persisted markdown files + CSV metadata. Staleness = hash(findings+QA) comparison. No automatic regeneration — user clicks Refresh when ready.,v1.4.0,false,false
28,2026-04-17,s2t_full_sql_per_layer,S2T Specification shows compiled SQL per layer with ref tracing,Added S2T Full SQL section with one collapsible expander per layer (Staging/Data Vault/Dimensional Model). Traces model refs backwards through layers via dbt_model_catalog. Each expander shows compiled SQL for all models in that layer. Also added Sample Data expander on Term Detail tab.,S2T Full SQL traces fact_purchase_orders through 7 staging + 11 vault + 1 mart models. Compiled SQL read from dbt/target/compiled/ with all refs resolved to actual table names.,S2T Full SQL shows compiled SQL per layer — Staging Layer + Data Vault Layer + Dimensional Model Layer. Collapsed by default. Traces refs backwards via dbt_model_catalog.,v1.4.0,false,false
29,2026-04-17,llm_prompt_no_passthrough_for_functions,LLM prompt explicitly forbids pass-through language when SQL has functions,po_date description said straight pass-through but SQL was CAST(BEDAT AS DATE). Updated SYSTEM_PROMPT in sync_s2t_plain_from_dbt.py: if SQL contains ANY function (CASE CAST SUBSTR etc) NEVER say pass-through direct unchanged. Describe what the function does.,1 contradiction found and fixed. po_date now says Converts the purchase order creation date from SAP internal format to a standard date. All other 39 descriptions verified correct.,LLM prompt must explicitly forbid pass-through language when SQL contains functions. scanner classification and LLM description are separate concerns — both must be accurate independently.,v1.4.0,false,false
30,2026-04-17,domain_facts_separate_from_analysis_findings,Structural cross-term observations need their own grain — collapsing into analysis_findings breaks the term-anchored invariant.,"Created dbt/seeds/domain_facts.csv with 18 columns (fact_id PK DF-NNNN, category enum, scope_layer enum, scope_tables, fact_plain, fact_technical, evidence_sql, evidence_result_json, evidence_result_summary, evidence_refreshed_at, discovered_at, discovered_by, confidence, stale_after_days, auto_inject, priority_score, status, superseded_by). Added dbt/seeds/schema.yml with accepted_values tests on category/scope_layer/discovered_by/confidence/status and a dbt_utils.expression_is_true test asserting NOT (auto_inject AND status != active).","New seed in place, empty by design. Guided Analysis — Domain tab is the only writer.",analysis_findings is per-term per-query; domain_facts is structural cross-term observations. Never collapse the two.,v1.5.0,true,false
31,2026-04-17,guided_domain_reuses_bt_planner,A separate planner function would diverge over time; same function with a system_prompt override keeps parity.,Extended run_data_analysis() in app/claude_api.py with optional system_prompt_override and user_prompt_prefix parameters. Guided Analysis — Domain tab passes DOMAIN_SYSTEM_PROMPT (structural-observation framing) and a dedupe preamble from load_domain_context(). Guided Analysis — Business Term tab unchanged.,Single planner codepath. Two tabs two framings zero forking.,Same run_data_analysis function different system prompt. Never fork the planner.,v1.5.0,true,false
32,2026-04-17,domain_context_injection_targeted_not_universal,Injecting domain_facts into every LLM call burns tokens without proportional benefit — especially in cache-warm batch scripts.,Created scripts/_domain_context_loader.py (reads data/parquet/main_seeds/domain_facts.parquet filters status=active plus auto_inject priority_score DESC truncation by token budget). Wired into exactly three sites: (a) Business_Glossary.py S2T call (800 tokens auto_inject=true) (b) Data_Analysis.py Domain Report generation (1500 tokens auto_inject=true) (c) Data_Analysis.py Guided-Domain planner (500 tokens auto_inject=false so drafts also dedupe). sync_s2t_plain_from_dbt.py intentionally skipped — 138 cached entries with roughly 69K tokens for near-zero benefit.,Three injection sites live. Cache key for .s2t_plain_cache.json unchanged. Non-injected 6 claude_api.py call sites unchanged.,Targeted injection only. sync_s2t_plain_from_dbt.py is intentionally excluded due to cache-cost vs. benefit tradeoff.,v1.5.0,true,false
33,2026-04-17,domain_facts_status_never_automated,An auto-approved flag set by code is worthless governance theatre — Rule 22 restated for domain_facts.,Guided-Domain Promote-to-Fact button writes rows with status=draft regardless of the auto_inject checkbox. The curate section does not offer an inline status change — points users to edit the CSV manually. The schema.yml expression_is_true test enforces that auto_inject can only be true when status=active ensuring that until a human changes status the fact stays invisible to downstream injection.,Guided-Domain produces drafts only. Human curation is the only path to active status.,Rule 22 extended: domain_facts.status changes are manual only. Approval is never set by code even as a convenience.,v1.5.0,true,false
34,2026-04-17,guided_bt_also_gets_domain_facts_injection,An earlier decision excluded Guided-BT from domain_facts injection on token-budget grounds. That framing optimises minimum tokens instead of value-per-token. Result: every BT analysis re-discovers domain trivialities (currency distribution plant split material prefixes) in its query plan. One redundant query roundtrip costs more than 500 extra prompt tokens.,Extended run_data_analysis() with a mode-agnostic domain_context param. BT tab now calls load_domain_context with scope_tables inferred from s2t_mapping (business_glossary has no source-tables column) max_tokens=500 require_auto_inject=True. Four injection points now: S2T (800 auto_inject=true) Guided-BT (500 scope-filtered auto_inject=true) Guided-Domain (500 scope=None auto_inject=false so drafts dedupe) Domain Report (1500 scope=None auto_inject=true).,Single planner codepath accepts domain_context string. Callers (BT tab Domain tab) compute their own context and pass it in. Planner is mode-agnostic.,Injection is scope-filtered not content-filtered. Goal is relevant context not minimum context. Five other claude_api.py call sites and sync_s2t_plain_from_dbt.py remain excluded due to narrow scope or cache economics.,v1.5.1,true,false
35,2026-04-17,run_data_analysis_is_mode_agnostic,Branching on caller mode inside the shared planner couples the planner to its callers and makes testing harder.,run_data_analysis accepts three optional params (system_prompt_override user_prompt_prefix domain_context) but never checks which caller invoked it. Each caller decides how much context to build and via which scope filter. BT computes scope from s2t_mapping rows for this term_id; Domain uses scope_tables=None.,Two tabs two framings one planner. No forks no flags. Adding a fifth caller in future requires zero changes inside run_data_analysis.,The shared planner is dumb about modes. Callers own their context. Never branch inside run_data_analysis based on caller identity.,v1.5.1,true,false
36,2026-04-17,parquet_views_must_refresh_on_query,@st.cache_resource pins a single in-memory DuckDB connection for the whole Streamlit worker lifetime. Parquet view registration happens once at connect time. Any parquet file written by CLI tools (dbt seed end_of_task.py manual export) after Streamlit boots is invisible to the cached connection until server restart.,In app/db.py extended _register_parquet_views() to track view_name to filepath via a module-level dict and DROP VIEW IF EXISTS when the backing parquet is removed. Added _parquet_dir_latest_mtime() helper. query() now calls _refresh_views(conn) before each execute — mtime-gated so steady state is one rglob plus a max comparison (microseconds). A re-scan only fires when the directory mtime advances. Logs first scan and any non-trivial re-scan (added or removed views); silent otherwise.,8/8 verification checks pass. V1 fresh connection serves domain_facts cleanly. V2 smoke parquet added at runtime becomes visible on next query call (+1 logged). V3 smoke parquet deleted drops the view cleanly (-1 logged) with no uncaught exception reaching the user. V4 steady-state 10 sequential queries avg 31.7ms well under the 50ms target.,Streamlit's cached DuckDB connection must mtime-gate a re-scan of data/parquet/ on every query. CREATE OR REPLACE VIEW for additions DROP VIEW IF EXISTS for removals both idempotent. Catches every future seed/mart automatically without server restart.,v1.5.2,true,false
37,2026-04-17,domain_facts_no_approval_flow,The first draft of the domain-facts UI inherited business_glossary governance (18-field form approval gate draft vs active toggle auto_inject checkbox). domain_facts are internal LLM context not business-approved deliverables. Rule 22 applies to business_glossary.status only.,Ripped out the Promote button 18-field form and Save Draft button. Added interpret_domain_fact() LLM helper in app/claude_api.py which produces the fact JSON. After each Guided-Domain query execution the tab auto-calls the helper auto-appends a row to dbt/seeds/domain_facts.csv with status=active auto_inject=true discovered_by=guided_domain_llm then syncs to DuckDB and Parquet. UI renders a compact fact card with exactly one button: Delete this fact. Curate section simplified to priority number input stale_after_days dropdown delete button re-run evidence — no status or auto_inject UI. JSON parse failure falls back to a minimal card with confidence=low and fact_plain flag.,Zero-click capture. One-click delete. Curate for tweaks. Approval ceremony removed.,Domain facts are internal LLM context — capture and delete only. No approval flow. Rule 22 governance is specific to business_glossary.status and does not generalise.,v1.6.0,true,false
38,2026-04-17,query_does_not_swallow_errors,"app/db.py query() was returning pd.DataFrame() on any exception — DuckDB catalog errors, syntax errors, IO errors. Downstream code dereferenced columns on the empty DataFrame and failed far from the source with a KeyError that hid the real problem. Silent fallbacks in a data-layer function amplify bugs rather than containing them.",Removed the blanket except Exception fallback in query(). DuckDB CatalogException and friends now propagate to the caller. Callers that genuinely tolerate empty results already wrap their query() calls in try/except and fall through to pd.DataFrame() themselves — grep confirmed the wrapped pattern is the norm for tolerant sites (Data_Analysis.py lines 85 90 103 502 556 1017 1047 1190 and similar in Business_Glossary.py). Bare callers dereference columns so a loud raise is the correct behaviour for them.,A verification harness confirmed a missing-table query now raises DuckDB CatalogException. Wrapped callers unchanged in end-state behaviour (their except clause now catches the propagated error; before it never fired because query was silent).,Data-layer functions must not swallow exceptions. Either succeed with real data or raise. Callers decide tolerance locally. See RULE 30.,v1.6.1,true,false
39,2026-04-17,view_refresh_also_clears_result_cache,Rule 27's _refresh_views fixed the view catalog but st.cache_data on query() is an independent cache. Pre-refresh query results (successful against stale catalog or empty-DF from transient errors) stayed cached for up to 60 seconds after the refresh fixed the catalog. The user saw multiple Catalog Error boxes on the BT tab because each module-level query() call had its own cached stale result.,In _refresh_views when _register_parquet_views reports added greater than 0 or removed greater than 0 also call query.clear() to flush the result cache. query is a module symbol resolved at call time so the forward reference works. Falls back to st.cache_data.clear() if query.clear is unreachable. The log line now includes cache cleared so the refresh event is visible.,The verification harness confirms clear is invoked on both view-add and view-drop. Log shows parquet re-scan +1 views -0 views mtime now X query cache cleared.,View catalog and result cache are two halves of one problem. When underlying parquet changes both must invalidate together. One without the other leaves a window where stale results propagate. Pair this with Rule 27 and Rule 30.,v1.6.1,true,false
40,2026-04-17,ingestion_log_seed_is_source_of_truth,A dbt seed tracks ingestion events rather than a meta table in DuckDB or a JSON manifest on disk. Git-tracked auditable flows through the same Rule 27 Rule 30 view refresh and query cache discipline the rest of the project already uses. Zero new infra.,Created dbt/seeds/ingestion_log.csv (run_id started_at_utc finished_at_utc source_type row_count_total tables_touched trigger_user notes). Added schema.yml entry with unique+not_null on run_id accepted_values on source_type and an expression_is_true test enforcing started_at_utc <= finished_at_utc. Generator now appends a row on every run with id ING-YYYYMMDD-NNN computed from the existing rows for today.,Freshness banner queries MAX(finished_at_utc) via the standard query() layer. Scanner re-seed list in end_of_task.py includes ingestion_log so new runs land in main_seeds automatically.,ingestion_log is the single source of truth for last-raw-load time. Not a meta table not a manifest file. Future real-SAP loaders append the same schema with source_type=real_batch.,v1.7.0,true,false
41,2026-04-17,freshness_thresholds_hardcoded_3_14,Green yellow red thresholds belong close to the gate logic initially. Until there is tuning demand externalising to dbt_project.yml or env vars adds plumbing without value.,Hardcoded GREEN_MAX_DAYS=3 and YELLOW_MAX_DAYS=14 in app/freshness.py. gap_days = (last_ingestion_utc - min_evidence_refreshed_utc).days clamped at zero. <=3 green <=14 yellow otherwise red. Comparisons only consider active auto_inject=true facts with non-null stale_after_days.,One place to change when tuning demand emerges. Single source of truth for the gate math.,Thresholds stay in app/freshness.py until a real reason to config-ify them appears. Move later not now.,v1.7.0,false,false
42,2026-04-17,bt_warn_but_dont_block,BT planner consumes domain facts to avoid re-proposing queries. If facts are stale the planner should still see them with a warning. Blocking BT prevents the user from even exploring the analysis that would reveal the drift. Stale knowledge beats no knowledge for read-path analyses.,In Data_Analysis.py BT tab L465 render_freshness_banner('bt') renders but the Plan button stays enabled. Guided-Domain Plan Domain Report Generate and S2T Create all receive disabled=is_write_blocked(). BT is the only of the four that does not gate.,BT tab usable even when ingestion is old. Write-path buttons disable with help= tooltip Domain facts are stale re-run ingestion and refresh.,BT warns never blocks. Write-path actions block on red. The four-site split is deliberate and documented.,v1.7.0,true,false
43,2026-04-17,streamlit_does_not_run_ingestion,Data ingestion is CLI only. The generator is scripts/generate_sap_sample_data.py and runs in a terminal. The red banner instructs the user to run it manually. Domain facts refresh is different — it is knowledge recompute against existing raw data — so Streamlit does shell out to scripts/refresh_domain_facts.py via subprocess on the yellow state.,Freshness banner on yellow exposes Refresh domain facts now button. On red no button is shown because refresh cannot fix stale data that ingestion has not caught up with. On no_baseline the message reads Run python scripts/generate_sap_sample_data.py in a terminal.,Narrow exception for knowledge refresh only. The broader principle — ingestion pipelines do not live inside Streamlit — is preserved.,Streamlit triggers knowledge recompute never data ingestion. If that distinction blurs in future revisit the exception.,v1.7.0,true,false
