id,model_name,layer,file_path,materialization,unique_key,description,grain,source_tables,ref_models,joins,filters,column_count,scanned_at
M027,obt_goods_movements,obt,models\obt\obt_goods_movements.sql,view,,OBT: Goods Movements — all material movements with full context.,,,fact_goods_movements; dim_material; dim_date; dim_movement_type; dim_plant,LEFT JOIN JINJA_EXPR; LEFT JOIN JINJA_EXPR; LEFT JOIN JINJA_EXPR; LEFT JOIN JINJA_EXPR,,25,2026-07-07 11:52
M028,obt_inventory_health,obt,models\obt\obt_inventory_health.sql,view,,"OBT: Inventory Health — current stock with material, plant, storage location context.",,,fact_inventory; dim_material; dim_plant; dim_storage_location,LEFT JOIN JINJA_EXPR; LEFT JOIN JINJA_EXPR; LEFT JOIN JINJA_EXPR,,17,2026-07-07 11:52
M029,obt_procurement_overview,obt,models\obt\obt_procurement_overview.sql,view,,OBT: Procurement Overview — fact_purchase_orders joined with all dims.,,,fact_purchase_orders; dim_vendor; dim_material; dim_date,LEFT JOIN JINJA_EXPR; LEFT JOIN JINJA_EXPR; LEFT JOIN JINJA_EXPR,,39,2026-07-07 11:52
M030,obt_vendor_scorecard,obt,models\obt\obt_vendor_scorecard.sql,view,,OBT: Vendor Scorecard — quarterly vendor performance.,,,fact_purchase_orders; dim_vendor; dim_date,INNER JOIN JINJA_EXPR; INNER JOIN JINJA_EXPR; LEFT JOIN quarterly_totals,f.po_date IS NOT NULL,4,2026-07-07 11:52
M031,fact_cross_state_order_share,other,models\olist\marts\fact_cross_state_order_share.sql,table,,BG035 — Cross-State Order Share,one row per month of order purchase,,hub_olist_order; sat_olist_order_header; sat_olist_customer_location; sat_olist_seller_geo; link_olist_order_item; hub_olist_seller,INNER JOIN JINJA_EXPR; INNER JOIN JINJA_EXPR; INNER JOIN seller_geo; INNER JOIN customer_state; LEFT JOIN order_items,"order_status = 'delivered'
),

customer_state AS (
    
    SELECT
        cl.hk_olist_order,
      ",5,2026-07-07 11:52
M032,fact_freight_to_price_ratio,other,models\olist\marts\fact_freight_to_price_ratio.sql,table,,,,,hub_olist_order; sat_olist_order_header; link_olist_order_item; sat_olist_order_item_prices; hub_olist_product; sat_olist_product_category,INNER JOIN JINJA_EXPR; INNER JOIN delivered_orders; INNER JOIN JINJA_EXPR; INNER JOIN JINJA_EXPR; INNER JOIN delivered_orders; LEFT JOIN product_categories,"soh.order_status = 'delivered'
    QUALIFY ROW_NUMBER() OVER (
        PARTITION BY soh.hk_olist_ord",7,2026-07-07 11:52
M033,fact_gmv_by_category_monthly,other,models\olist\marts\fact_gmv_by_category_monthly.sql,table,,,,,sat_olist_order_header; link_olist_order_item; sat_olist_order_item_prices; sat_olist_product_category,,"rn = 1; order_status != 'canceled'
),

order_item_link AS (
    SELECT
        hk_olist_order_item,
        ",5,2026-07-07 11:52
M034,fact_on_time_delivery_monthly,other,models\olist\marts\fact_on_time_delivery_monthly.sql,table,,,,,hub_olist_order; sat_olist_order_header,,"order_status = 'delivered'; order_delivered_customer_date IS NOT NULL
)

SELECT
    order_month,
    COUNT(*)                   ",4,2026-07-07 11:52
M035,fact_repeat_customer_rate,other,models\olist\marts\fact_repeat_customer_rate.sql,table,,,,,hub_olist_order; sat_olist_order_header; sat_olist_customer_identity,INNER JOIN JINJA_EXPR; INNER JOIN customer_identity; INNER JOIN customer_identity; INNER JOIN person_first_order,"order_status != 'canceled'
),

customer_identity AS (
    SELECT
        hk_olist_order,
        cus",4,2026-07-07 11:52
M036,obt_ecommerce_cross_state_order_share,other,models\olist\obt\obt_ecommerce_cross_state_order_share.sql,view,,,,,fact_cross_state_order_share; dim_date,LEFT JOIN JINJA_EXPR,,9,2026-07-07 11:52
M037,obt_ecommerce_freight_to_price_ratio,other,models\olist\obt\obt_ecommerce_freight_to_price_ratio.sql,view,,,,,fact_freight_to_price_ratio; dim_date,LEFT JOIN JINJA_EXPR,,11,2026-07-07 11:52
M038,obt_ecommerce_gmv_by_category,other,models\olist\obt\obt_ecommerce_gmv_by_category.sql,view,,,,,fact_gmv_by_category_monthly,,,10,2026-07-07 11:52
M039,obt_ecommerce_on_time_delivery,other,models\olist\obt\obt_ecommerce_on_time_delivery.sql,view,,,,,fact_on_time_delivery_monthly; dim_date,,"date_day = DATE_TRUNC('month', date_day)  
)

SELECT
    f.order_month,
    d.year,
    d.month,
   ",14,2026-07-07 11:52
M040,obt_ecommerce_repeat_customer,other,models\olist\obt\obt_ecommerce_repeat_customer.sql,view,,,,,fact_repeat_customer_rate,,,11,2026-07-07 11:52
M041,stg_olist__category_translation,other,models\olist\staging\stg_olist__category_translation.sql,view,,,,raw_olist.category_translation,,,,2,2026-07-07 11:52
M042,stg_olist__customers,other,models\olist\staging\stg_olist__customers.sql,view,,,,raw_olist.customers,,,,5,2026-07-07 11:52
M043,stg_olist__order_items,other,models\olist\staging\stg_olist__order_items.sql,view,,,,raw_olist.order_items,,,,7,2026-07-07 11:52
M044,stg_olist__orders,other,models\olist\staging\stg_olist__orders.sql,view,,,,raw_olist.orders,,,,8,2026-07-07 11:52
M045,stg_olist__products,other,models\olist\staging\stg_olist__products.sql,view,,,,raw_olist.products,,,,9,2026-07-07 11:52
M046,stg_olist__sellers,other,models\olist\staging\stg_olist__sellers.sql,view,,,,raw_olist.sellers,,,,4,2026-07-07 11:52
M047,hub_olist_order,other,models\olist\vault\hub_olist_order.sql,incremental,hk_olist_order,,,,stg_olist__orders,,load_date > (SELECT MAX(load_date) FROM JINJA_EXPR),3,2026-07-07 11:52
M048,hub_olist_product,other,models\olist\vault\hub_olist_product.sql,incremental,hk_olist_product,,,,stg_olist__products,,load_date > (SELECT MAX(load_date) FROM JINJA_EXPR),3,2026-07-07 11:52
M049,hub_olist_seller,other,models\olist\vault\hub_olist_seller.sql,incremental,hk_olist_seller,,,,stg_olist__sellers,,"seller_id IS NOT NULL
)
SELECT
    hk_olist_seller,
    seller_id,
    load_date,
    record_source
",4,2026-07-07 11:52
M050,link_olist_order_item,other,models\olist\vault\link_olist_order_item.sql,incremental,hk_olist_order_item,,,,stg_olist__order_items,,load_date > (SELECT MAX(load_date) FROM JINJA_EXPR),6,2026-07-07 11:52
M051,sat_olist_customer_identity,other,models\olist\vault\sat_olist_customer_identity.sql,incremental,hk_olist_order,,,raw_olist.orders,stg_olist__customers,INNER JOIN JINJA_EXPR,"o.customer_id IS NOT NULL
),

with_hk AS (
    SELECT
        JINJA_EXPR                         AS ",4,2026-07-07 11:52
M052,sat_olist_customer_location,other,models\olist\vault\sat_olist_customer_location.sql,incremental,hk_olist_order,,,,stg_olist__orders; stg_olist__customers,INNER JOIN JINJA_EXPR,"o.order_id IS NOT NULL
),
deduped AS (
    SELECT *
    FROM src
    QUALIFY ROW_NUMBER() OVER (PART",7,2026-07-07 11:52
M053,sat_olist_order_header,other,models\olist\vault\sat_olist_order_header.sql,incremental,hk_olist_order,,,,stg_olist__orders,,load_date > (SELECT MAX(load_date) FROM JINJA_EXPR),8,2026-07-07 11:52
M054,sat_olist_order_item_prices,other,models\olist\vault\sat_olist_order_item_prices.sql,incremental,hk_olist_order_item,,,,stg_olist__order_items,,load_date > (SELECT MAX(load_date) FROM JINJA_EXPR),4,2026-07-07 11:52
M055,sat_olist_product_category,other,models\olist\vault\sat_olist_product_category.sql,incremental,hk_olist_product,,,,stg_olist__products; stg_olist__category_translation,,load_date > (SELECT MAX(load_date) FROM JINJA_EXPR),6,2026-07-07 11:52
M056,sat_olist_seller_geo,other,models\olist\vault\sat_olist_seller_geo.sql,incremental,hk_olist_seller,,,,stg_olist__sellers,,"seller_id IS NOT NULL
),
deduped AS (
    SELECT *
    FROM src
    QUALIFY ROW_NUMBER() OVER (PARTI",7,2026-07-07 11:52
M057,stg_sap__bkpf,staging,models\staging\stg_sap__bkpf.sql,view,,Staging: BKPF — Accounting Document Header,,raw_sap.bkpf,,,,13,2026-07-07 11:52
M058,stg_sap__bseg,staging,models\staging\stg_sap__bseg.sql,view,,Staging: BSEG — Accounting Document Line Item,,raw_sap.bseg,,,,14,2026-07-07 11:52
M059,stg_sap__eban,staging,models\staging\stg_sap__eban.sql,view,,Staging: EBAN — Purchase Requisition,,raw_sap.eban,,,,17,2026-07-07 11:52
M060,stg_sap__ebkn,staging,models\staging\stg_sap__ebkn.sql,view,,Staging: EBKN — Purchase Requisition Account Assignment,,raw_sap.ebkn,,,,6,2026-07-07 11:52
M061,stg_sap__ekbe,staging,models\staging\stg_sap__ekbe.sql,view,,Staging: EKBE — Purchasing Document History,,raw_sap.ekbe,,,,14,2026-07-07 11:52
M062,stg_sap__eket,staging,models\staging\stg_sap__eket.sql,view,,Staging: EKET — Purchasing Document Delivery Schedule,,raw_sap.eket,,,,8,2026-07-07 11:52
M063,stg_sap__ekkn,staging,models\staging\stg_sap__ekkn.sql,view,,Staging: EKKN — Purchasing Document Account Assignment,,raw_sap.ekkn,,,,7,2026-07-07 11:52
M064,stg_sap__ekko,staging,models\staging\stg_sap__ekko.sql,view,,Staging: EKKO — Purchasing Document Header,,raw_sap.ekko,,,,19,2026-07-07 11:52
M065,stg_sap__ekpo,staging,models\staging\stg_sap__ekpo.sql,view,,Staging: EKPO — Purchasing Document Item,,raw_sap.ekpo,,,,18,2026-07-07 11:52
M066,stg_sap__eqbs,staging,models\staging\stg_sap__eqbs.sql,view,,Staging: EQBS — Equipment Status History,,raw_sap.eqbs,,,,6,2026-07-07 11:52
M067,stg_sap__equi,staging,models\staging\stg_sap__equi.sql,view,,Staging: EQUI — Equipment Master,,raw_sap.equi,,,,13,2026-07-07 11:52
M068,stg_sap__kna1,staging,models\staging\stg_sap__kna1.sql,view,,Staging: KNA1 — Customer General Data (SD),,raw_sap.kna1,,,,11,2026-07-07 11:52
M069,stg_sap__lfa1,staging,models\staging\stg_sap__lfa1.sql,view,,Staging: LFA1 — Vendor General Data,,raw_sap.lfa1,,,,11,2026-07-07 11:52
M070,stg_sap__lfb1,staging,models\staging\stg_sap__lfb1.sql,view,,Staging: LFB1 — Vendor Company Code Data,,raw_sap.lfb1,,,,8,2026-07-07 11:52
M071,stg_sap__lfm1,staging,models\staging\stg_sap__lfm1.sql,view,,Staging: LFM1 — Vendor Purchasing Organization Data,,raw_sap.lfm1,,,,8,2026-07-07 11:52
M072,stg_sap__makt,staging,models\staging\stg_sap__makt.sql,view,,Staging: MAKT — Material Descriptions,,raw_sap.makt,,,,5,2026-07-07 11:52
M073,stg_sap__mara,staging,models\staging\stg_sap__mara.sql,view,,Staging: MARA — Material General Data,,raw_sap.mara,,,,13,2026-07-07 11:52
M074,stg_sap__marc,staging,models\staging\stg_sap__marc.sql,view,,Staging: MARC — Material Plant Data,,raw_sap.marc,,,,12,2026-07-07 11:52
M075,stg_sap__mard,staging,models\staging\stg_sap__mard.sql,view,,Staging: MARD — Stock per Storage Location,,raw_sap.mard,,,,8,2026-07-07 11:52
M076,stg_sap__marm,staging,models\staging\stg_sap__marm.sql,view,,Staging: MARM — Material Units of Measure,,raw_sap.marm,,,,6,2026-07-07 11:52
M077,stg_sap__mkpf,staging,models\staging\stg_sap__mkpf.sql,view,,Staging: MKPF — Material Document Header,,raw_sap.mkpf,,,,9,2026-07-07 11:52
M078,stg_sap__mseg,staging,models\staging\stg_sap__mseg.sql,view,,Staging: MSEG — Material Document Item,,raw_sap.mseg,,,,17,2026-07-07 11:52
M079,stg_sap__objk,staging,models\staging\stg_sap__objk.sql,view,,Staging: OBJK — Object List (Serial to Equipment cross-reference),,raw_sap.objk,,,,10,2026-07-07 11:52
M080,stg_sap__rbkp,staging,models\staging\stg_sap__rbkp.sql,view,,Staging: RBKP — Invoice Document Header,,raw_sap.rbkp,,,,12,2026-07-07 11:52
M081,stg_sap__resb,staging,models\staging\stg_sap__resb.sql,view,,Staging: RESB — Reservation Item,,raw_sap.resb,,,,10,2026-07-07 11:52
M082,stg_sap__rkpf,staging,models\staging\stg_sap__rkpf.sql,view,,Staging: RKPF — Reservation Header,,raw_sap.rkpf,,,,6,2026-07-07 11:52
M083,stg_sap__rseg,staging,models\staging\stg_sap__rseg.sql,view,,Staging: RSEG — Invoice Document Item,,raw_sap.rseg,,,,11,2026-07-07 11:52
M084,stg_sap__ser01,staging,models\staging\stg_sap__ser01.sql,view,,Staging: SER01 — Serial Number Document Header (PO reference),,raw_sap.ser01,,,,10,2026-07-07 11:52
M085,stg_sap__ser03,staging,models\staging\stg_sap__ser03.sql,view,,Staging: SER03 — Serial Number Document Header (Material Document reference),,raw_sap.ser03,,,,10,2026-07-07 11:52
M086,stg_sap__seri,staging,models\staging\stg_sap__seri.sql,view,,Staging: SERI — Serial Number Assignments,,raw_sap.seri,,,,9,2026-07-07 11:52
M087,stg_sap__t001,staging,models\staging\stg_sap__t001.sql,view,,1:1 staging of T001 (Company Codes). Reference table.,,raw_sap.t001,,,,8,2026-07-07 11:52
M088,stg_sap__t001l,staging,models\staging\stg_sap__t001l.sql,view,,1:1 staging of T001L (Storage Locations). Reference table.,,raw_sap.t001l,,,,5,2026-07-07 11:52
M089,stg_sap__t001w,staging,models\staging\stg_sap__t001w.sql,view,,1:1 staging of T001W (Plants). Reference table.,,raw_sap.t001w,,,,7,2026-07-07 11:52
M090,stg_sap__t023,staging,models\staging\stg_sap__t023.sql,view,,1:1 staging of T023 (Material Groups). Reference table.,,raw_sap.t023,,,,4,2026-07-07 11:52
M091,stg_sap__t024,staging,models\staging\stg_sap__t024.sql,view,,1:1 staging of T024 (Purchasing Groups). Reference table.,,raw_sap.t024,,,,4,2026-07-07 11:52
M092,stg_sap__t024e,staging,models\staging\stg_sap__t024e.sql,view,,1:1 staging of T024E (Purchasing Organizations). Reference table.,,raw_sap.t024e,,,,6,2026-07-07 11:52
M093,stg_sap__t156,staging,models\staging\stg_sap__t156.sql,view,,Staging: T156 — Movement Type Configuration (SAP-native).,,raw_sap.t156,,,,6,2026-07-07 11:52
M094,stg_sap__t156t,staging,models\staging\stg_sap__t156t.sql,view,,Staging: T156T — Movement Type Text (SAP-native).,,raw_sap.t156t,,,,6,2026-07-07 11:52
M095,stg_sap__vbak,staging,models\staging\stg_sap__vbak.sql,view,,Staging: VBAK — Sales Document Header (SD),,raw_sap.vbak,,,,12,2026-07-07 11:52
M096,stg_sap__vbap,staging,models\staging\stg_sap__vbap.sql,view,,Staging: VBAP — Sales Document Item (SD),,raw_sap.vbap,,,,12,2026-07-07 11:52
M097,stg_sap__vbrk,staging,models\staging\stg_sap__vbrk.sql,view,,Staging: VBRK — Billing Document Header (SD),,raw_sap.vbrk,,,,15,2026-07-07 11:52
M098,stg_sap__vbrp,staging,models\staging\stg_sap__vbrp.sql,view,,Staging: VBRP — Billing Document Item (SD),,raw_sap.vbrp,,,,14,2026-07-07 11:52
M099,stg_sap__zmm_approval_log,staging,models\staging\stg_sap__zmm_approval_log.sql,view,,Staging: ZMM_APPROVAL_LOG — Custom approval-event Z-table.,,raw_sap.zmm_approval_log,,,,13,2026-07-07 11:52
M100,stg_sap__zmm_material_business,staging,models\staging\stg_sap__zmm_material_business.sql,view,,Staging: ZMM_MATERIAL_BUSINESS — HT-domain material business enrichment.,,raw_sap.zmm_material_business,,,,6,2026-07-07 11:52
M101,stg_sap__zmm_vendor_business,staging,models\staging\stg_sap__zmm_vendor_business.sql,view,,Staging: ZMM_VENDOR_BUSINESS — HT-domain vendor business enrichment.,,raw_sap.zmm_vendor_business,,,,7,2026-07-07 11:52
M102,hub_accounting_document,vault,models\vault\hub_accounting_document.sql,incremental,hk_accounting_document,Hub: Accounting Document (FI journal entry — WE / RE / RV),,,stg_sap__bkpf,,,6,2026-07-07 11:52
M103,hub_billing_document,vault,models\vault\hub_billing_document.sql,incremental,hk_billing_doc,Hub: Billing Document (monthly service invoice),,,stg_sap__vbrk,,,4,2026-07-07 11:52
M104,hub_customer,vault,models\vault\hub_customer.sql,incremental,hk_customer,Hub: Customer,,,stg_sap__kna1,,,4,2026-07-07 11:52
M105,hub_equipment,vault,models\vault\hub_equipment.sql,incremental,hk_equipment,Hub: Equipment (individual CPE device),,,stg_sap__equi,,,4,2026-07-07 11:52
M106,hub_invoice,vault,models\vault\hub_invoice.sql,incremental,hk_invoice,Hub: Invoice,,,stg_sap__rbkp,,,5,2026-07-07 11:52
M107,hub_material,vault,models\vault\hub_material.sql,incremental,hk_material,Hub: Material,,,stg_sap__mara,,,4,2026-07-07 11:52
M108,hub_material_document,vault,models\vault\hub_material_document.sql,incremental,hk_material_document,Hub: Material Document,,,stg_sap__mkpf,,,5,2026-07-07 11:52
M109,hub_movement_type,vault,models\vault\hub_movement_type.sql,incremental,hk_movement_type,Hub: Movement Type,,,stg_sap__t156,,,4,2026-07-07 11:52
M110,hub_plant,vault,models\vault\hub_plant.sql,incremental,hk_plant,Hub: Plant,,,stg_sap__t001w,,,4,2026-07-07 11:52
M111,hub_purchase_order,vault,models\vault\hub_purchase_order.sql,incremental,hk_purchase_order,Hub: Purchase Order,,,stg_sap__ekko,,,4,2026-07-07 11:52
M112,hub_purchase_requisition,vault,models\vault\hub_purchase_requisition.sql,incremental,hk_purchase_requisition,Hub: Purchase Requisition,,,stg_sap__eban,,,4,2026-07-07 11:52
M113,hub_sales_order,vault,models\vault\hub_sales_order.sql,incremental,hk_sales_order,Hub: Sales Order (service contract),,,stg_sap__vbak,,,4,2026-07-07 11:52
M114,hub_service_plan,vault,models\vault\hub_service_plan.sql,incremental,hk_service_plan,Hub: Service Plan (broadband / IPTV / business subscription),,,stg_sap__vbap,,,4,2026-07-07 11:52
