id,business_term_id,business_term_name,source_table,source_field,source_description,target_model,target_column,transformation_logic_plain,transformation_logic_sql,join_description,filter_description,notes,transformation_logic_plain_business
S016,BG008,purchase_order_cycle_time,EKKO,BEDAT,PO creation date,fact_purchase_orders,po_cycle_days,"The number of days between the purchase requisition date and the purchase order creation date, calculated only when both dates are available.","CASE WHEN prd.requisition_date IS NOT NULL AND ph.po_date IS NOT NULL
        THEN CAST(ph.po_date - prd.requisition_date AS INTEGER)
        ELSE NULL
    END",,Exclude auto-created PRs from MRP (EBAN.ESTKZ = 'B'),MRP-generated PRs are auto-converted and skew the metric,The number of days between when goods were requested and when the purchase order was created.
S017,BG010,vendor_concentration_risk,EKPO,NETWR,PO item net value,obt_vendor_scorecard,vendor_spend_share,"This column calculates each vendor's share of total quarterly spend as a percentage, dividing the vendor's quarterly spending by the organization's total quarterly spending and rounding to four decimal places.","CASE WHEN qt.quarter_total_spend > 0
        THEN ROUND(vq.total_spend / qt.quarter_total_spend, 4)
        ELSE 0
    END",,All completed POs,,The percentage of total company spending that went to this specific supplier during the quarter.
S018,BG011,total_purchase_orders,EKKO,EBELN,Purchase order document number,fact_purchase_orders,purchase_order_number,"This column carries the purchase order document number as a direct copy of the SAP EKKO.EBELN field, flowing through unchanged from the source system.",,One row per PO header,BSTYP='F' (standard purchase orders only),,The unique identifier assigned to each purchase order when it is created in the system.
S019,BG012,total_po_value,EKPO,NETWR,PO line item net value,fact_purchase_orders,net_value,This column represents the total net value of all purchase order line items by summing the net worth amounts from the purchasing document items.,SUM(NETWR),PO item grain — multiple items per PO,,,The total monetary value of all items purchased in this purchase order.
S020,BG013,delivery_status_distribution,EKPO,MENGE,PO ordered quantity,fact_purchase_orders,delivery_status,"This column categorizes each purchase order line item's delivery status as ""pending"" when no goods receipts exist, ""fully_received"" when the total received quantity equals or exceeds the ordered quantity, or ""partially_received"" when some but not all ordered quantity has been received.","CASE
        WHEN fgr.first_gr_date IS NULL THEN 'pending'
        WHEN gr_totals.total_gr_quantity >= pi.ordered_quantity THEN 'fully_received'
        WHEN gr_totals.total_gr_quantity > 0 THEN 'partially_received'
        ELSE 'pending'
    END",Join to EKBE on EBELN+EBELP,Filter EKBE.VGABE='1' (goods receipt postings),,"Shows whether ordered items have been fully delivered, partially delivered, or are still pending receipt at the warehouse."
S021,BG013,delivery_status_distribution,EKBE,MENGE,GR posted quantity from PO history,fact_purchase_orders,received_quantity,"This column shows the total quantity of goods received for each purchase order, defaulting to zero when no goods receipt records exist.","COALESCE(gr_totals.total_gr_quantity, 0)",EKBE one row per GR event,VGABE='1' for GR events,,The total quantity of goods that have been received from the supplier for this delivery.
S022,BG014,vendor_spend_share,EKKO,LIFNR,Vendor account number,obt_vendor_scorecard,vendor_spend_share,"This column calculates each vendor's percentage share of total quarterly spend by dividing the vendor's quarterly spend by the overall quarterly spend total, rounded to four decimal places, or zero if there was no total spend in the quarter.","CASE WHEN qt.quarter_total_spend > 0
        THEN ROUND(vq.total_spend / qt.quarter_total_spend, 4)
        ELSE 0
    END",Join EKKO to EKPO on EBELN,All BSTYP='F' POs,Source for PR004 concentration risk,The percentage of total company spending that went to this specific supplier during the quarter.
S023,BG015,vendor_fulfillment_rate,EKBE,MENGE,Total received quantity per vendor,obt_vendor_scorecard,fulfillment_rate,"The fulfillment rate represents the percentage of ordered quantity that was actually received from the vendor, calculated by dividing total received quantity by total ordered quantity and rounded to four decimal places, or zero if no quantity was ordered.","CASE WHEN vq.total_ordered_qty > 0
        THEN ROUND(vq.total_received_qty / vq.total_ordered_qty, 4)
        ELSE 0
    END",Join EKBE→EKPO→EKKO on EBELN,VGABE='1',Lower than 100 indicates under-delivery,"The percentage of ordered goods that the vendor actually delivered, showing how reliable they are at fulfilling orders completely."
S024,BG016,vendor_performance_grade,EKBE,BUDAT,GR posting date,knowledge_vendor_performance,performance_grade,"The vendor performance grade assigns letter grades based on the vendor's on-time delivery rate, where vendors with 80% or higher on-time delivery receive an 'A', 60-79% receive a 'B', 40-59% receive a 'C', and below 40% receive a 'D'.","CASE
        WHEN AVG(CASE WHEN f.is_on_time THEN 1.0 ELSE 0.0 END) >= 0.80 THEN 'A'
        WHEN AVG(CASE WHEN f.is_on_time THEN 1.0 ELSE 0.0 END) >= 0.60 THEN 'B'
        WHEN AVG(CASE WHEN f.is_on_time THEN 1.0 ELSE 0.0 END) >= 0.40 THEN 'C'
        ELSE 'D'
    END",Aggregated from fact_purchase_orders.is_on_time,All POs,,"A letter grade (A, B, C, or D) that rates how reliably a supplier delivers goods on time, with A being the best performers."
S025,BG017,total_cpe_devices,EQUI,EQUNR,Equipment number (serial-tracked CPE device),dim_equipment,equipment_number,"This column carries the equipment number that flows through unchanged from the SAP EQUI.EQUNR field, identifying each serial-tracked CPE device in the system.",,One row per CPE device,All equipment categories,,The unique identifier assigned to each individual piece of customer equipment being tracked in the system.
S026,BG018,cpe_deployment_rate,EQBS,USTXT,Equipment user status,knowledge_cpe_lifecycle_metrics,deployment_rate_pct,"The deployment rate percentage is calculated by dividing the count of equipment with 'deployed' lifecycle status by the total count of all equipment records, then multiplying by 100 and rounding to one decimal place.","ROUND(100.0 * COUNT(CASE WHEN e.lifecycle_status = 'deployed' THEN 1 END) / COUNT(*), 1)",Latest status per equipment,Latest status only,,The percentage of equipment items that have been successfully deployed and are currently in active use.
S027,BG019,cpe_return_rate,EQBS,USTXT,Equipment user status,knowledge_cpe_lifecycle_metrics,return_rate_pct,"The return rate percentage is calculated by dividing the number of items with lifecycle status 'returned' by the total number of items and multiplying by 100, rounded to two decimal places.","ROUND(100.0 * COUNT(CASE WHEN e.lifecycle_status = 'returned' THEN 1 END) / COUNT(*), 2)",Latest status per equipment,Latest status only,,The percentage of equipment items that were returned back to the supplier out of all equipment received.
S028,BG020,total_stock_units,MARD,LABST,Unrestricted stock quantity,fact_inventory,total_stock,"The total stock is the sum of unrestricted stock, quality inspection stock, and blocked stock quantities, converted to a decimal format with three decimal places.","CAST(sl.unrestricted_stock + sl.quality_inspection_stock + sl.blocked_stock AS DECIMAL(13, 3))",Snapshot from MARD,Includes all material groups,,"The total quantity of items available across all warehouse locations, including goods ready for use, under inspection, and temporarily blocked."
S029,BG021,zero_stock_locations,MARD,LABST,Unrestricted stock quantity,fact_inventory,is_zero_stock,This flag indicates whether a storage location has zero or negative unrestricted stock quantity.,CASE WHEN sl.unrestricted_stock <= 0 THEN TRUE ELSE FALSE END,Snapshot from MARD,Excludes blocked-only or QI-only locations,,Indicates whether a warehouse location has completely run out of available inventory.
S030,BG022,blocked_stock,MARD,SPEME,Blocked stock quantity,fact_inventory,blocked_stock,"The blocked stock represents the total quantity of materials that are blocked from use, summed across all plant-material combinations from the MARD table's blocked stock field.",SUM(SPEME),Snapshot from MARD,Quality review required before use,,The total quantity of inventory items that are temporarily unavailable for use due to quality issues or other restrictions.
S031,BG023,total_goods_movements,MSEG,MBLNR,Material document number,fact_goods_movements,material_document_number,"This column carries the material document number that flows through unchanged from the SAP MSEG.MBLNR field, serving as the unique identifier for each goods movement transaction.",,One row per movement line,All BWART codes included,,The unique reference number that identifies each individual goods movement transaction in the system.
S032,BG024,deployment_return_ratio,MSEG,BWART,Movement type code,obt_goods_movements,signed_quantity,This ratio compares the total quantity of goods returned from deployment (movement type 161) to the total quantity of goods issued to deployment (movement type 201).,SUM(qty WHERE bwart='161') / SUM(qty WHERE bwart='201'),Group by material group,"BWART IN ('161','201')",Lower is better; threshold 0.05,"The ratio of goods returned to suppliers versus goods issued to production, indicating how often deployed materials come back versus go out."
S033,BG025,po_volume_by_month,EKKO,BEDAT,PO creation date,obt_procurement_overview,po_year_month,"The column counts the number of unique purchase orders created in each year-month period, derived by grouping purchase order document numbers by the first 7 characters of the document date (YYYY-MM format).","COUNT(DISTINCT EBELN) GROUP BY SUBSTR(BEDAT,1,7)",One row per PO header,All BSTYP='F',,"The year and month when purchase orders were created, used to track ordering activity over time."
BG028-01,BG028,po_invoice_three_way_match_variance,EKKO,LIFNR,Vendor account number,fact_three_way_match_variance,vendor_id,"This column carries the vendor account number directly from the SAP EKKO.LIFNR field, flowing through unchanged to identify which vendor is associated with each three-way match variance record.",,,,scope_table: header,The supplier who provided the goods or services for this purchase order invoice variance.
BG028-02,BG028,po_invoice_three_way_match_variance,EKPO,MENGE,PO order quantity,fact_three_way_match_variance,po_qty,"This column carries the purchase order quantity directly from the SAP field EKPO.MENGE, flowing through unchanged to support three-way matching variance analysis.",,EKPO.EBELN = EKKO.EBELN,,scope_table: po_line_grain,The quantity of items originally ordered from the supplier on the purchase order.
BG028-03,BG028,po_invoice_three_way_match_variance,EKBE,MENGE,GR quantity from PO history,fact_three_way_match_variance,gr_qty,"This column carries the goods receipt quantity directly from the SAP EKBE.MENGE field, flowing through unchanged from the purchase order history.",,EKBE.EBELN+EBELP = EKPO.EBELN+EBELP,VGABE='1' for goods receipts,scope_table: gr_source,The quantity of goods that was actually received and recorded when the delivery arrived.
BG028-04,BG028,po_invoice_three_way_match_variance,RBKP,BELNR,Invoice document number,fact_three_way_match_variance,invoice_id,"This column carries the invoice document number directly from SAP field RBKP.BELNR, flowing through unchanged to identify invoices in three-way match variance analysis.",,RBKP.EBELN = EKKO.EBELN,,scope_table: invoice_header,The unique identifier for each invoice document that helps track billing discrepancies.
BG028-05,BG028,po_invoice_three_way_match_variance,RSEG,MENGE,Invoice line quantity,fact_three_way_match_variance,invoice_qty,"This column carries the invoice line quantity directly from SAP field RSEG.MENGE, flowing through unchanged from source to support three-way match variance analysis.",,RSEG.BELNR+GJAHR = RBKP.BELNR+GJAHR; RSEG.EBELN+EBELP = EKPO.EBELN+EBELP,,scope_table: invoice_line_grain,The quantity of goods or services listed on the supplier's invoice for this line item.
BG028-06,BG028,po_invoice_three_way_match_variance,LFA1,NAME1,Vendor name,fact_three_way_match_variance,vendor_name,"This column carries the vendor name as a direct copy of the LFA1.NAME1 field from SAP, flowing through unchanged to support three-way match variance analysis.",,LFA1.LIFNR = EKKO.LIFNR,,scope_table: vendor_description,The name of the supplier that sent the invoice being compared against the purchase order and goods receipt.
BG028-07,BG028,po_invoice_three_way_match_variance,ZMM_APPROVAL_LOG,APPR_STATUS,Approval workflow state,fact_three_way_match_variance,approved_exception_count,"This column carries the approval workflow state directly from the SAP ZMM_APPROVAL_LOG.APPR_STATUS field, flowing through unchanged to track purchase order invoice three-way match variance approval status.",,ZMM_APPROVAL_LOG.BELNR+GJAHR = RBKP.BELNR+GJAHR,"APPR_STATUS IN ('02','03','04') for all exceptions; '02' for approved","scope_table: approval_workflow_source (raw-only, Layer A target)","The number of invoice payment exceptions that have been approved despite discrepancies between the purchase order, goods receipt, and invoice amounts."
S005,BG002,on_time_delivery_rate,EKET,EINDT,Scheduled delivery date,fact_purchase_orders,scheduled_delivery_date,"This column represents the scheduled delivery date from the purchase order schedule line, converted from the original SAP date format to a standard date format.",CAST(EINDT AS DATE),EKET.EBELN = EKKO.EBELN AND EKET.EBELP = EKPO.EBELP,Latest schedule line per PO item,,The planned date when goods were expected to arrive from the supplier.
S006,BG002,on_time_delivery_rate,MKPF,BUDAT,Actual GR date,fact_purchase_orders,is_on_time,"This column indicates whether a purchase order was delivered on time by comparing the first goods receipt date against the scheduled delivery date plus a 2-day grace period, returning true if delivered within that window and null if either date is missing.","CASE
        WHEN fgr.first_gr_date IS NOT NULL AND ps.scheduled_delivery_date IS NOT NULL
        THEN CASE WHEN fgr.first_gr_date <= ps.scheduled_delivery_date + INTERVAL 2 DAY
                  THEN TRUE ELSE FALSE END
        ELSE NULL
    END",,2-day tolerance per business rule,Tolerance approved by Head of Supply Chain,Shows whether goods were delivered within 2 days of the promised delivery date.
S2T-0001,BG029,total_goods_receipts_by_month,MSEG,MENGE,"Material document line items — MSEG contains each goods receipt line with MENGE quantity, BWART movement type to filter for receipts (101), and BUDAT posting date for monthly aggregation.",,,"This column carries the raw quantity values from SAP field MSEG.MENGE, flowing through unchanged from the material document line items table.",,,,stage_a_derived,The quantity of goods received from suppliers each month.
S2T-0002,BG029,total_goods_receipts_by_month,MKPF,MBLNR,"Material document headers — MKPF provides document-level context and BUDAT posting date for temporal grouping, joined to MSEG via MBLNR.",,,"This column carries the material document number from SAP field MKPF.MBLNR, flowing through unchanged to enable goods receipt tracking and aggregation by month.",,,,stage_a_derived,The unique reference number that identifies each goods receipt transaction for monthly reporting and tracking purposes.
S2T-0034,BG029,total_goods_receipts_by_month,MSEG,MBLNR,Material Document Number linking to goods receipt header,fact_goods_receipts_monthly,receipt_line_count,Counts the total number of goods receipt line items recorded in the period to give the monthly receipt volume.,COUNT(*),Join MSEG to MKPF on MBLNR for document date aggregation,Filter BWART = '101' for goods receipts into warehouse stock,Generated by Claude create_s2t_with_implementation (confidence: high),The total number of individual goods receipt line items recorded in a given month.
S2T-0035,BG029,total_goods_receipts_by_month,MKPF,BUDAT,Posting date for material document,fact_goods_receipts_monthly,receipt_month,"Truncates the goods receipt posting date to the first day of its calendar month, grouping all receipts within the same month together for monthly aggregation.","DATE_TRUNC('month', grh.posting_date)",Header table for document date information,All posting dates,Generated by Claude create_s2t_with_implementation (confidence: high),"The calendar month in which goods were received and recorded, used to group and compare receipt activity over time."
BG027-01,BG027,cpe_active_deployed_count,EQUI,EQUNR,Equipment master — provides equipment details and installation status for CPE devices.,,,"Carries the count of active and deployed CPE devices as a direct pass-through of EQUI.EQUNR from the SAP Equipment master, flowing unchanged through staging, vault, and mart layers.",,,,stage_a_derived,The number of customer premises equipment (CPE) devices that are currently active and installed at customer locations.
BG027-02,BG027,cpe_active_deployed_count,MKPF,MBLNR,Material document header — provides posting dates for goods movements to determine current status.,,,"This column carries the material document number from SAP field MKPF.MBLNR, flowing through the staging, vault, and mart layers unchanged to reflect the count of currently active and deployed CPE units based on goods movement postings.",,,,stage_a_derived,The total number of Customer Premises Equipment (CPE) units that are currently active and in use at customer locations.
BG027-03,BG027,cpe_active_deployed_count,MSEG,BWART,Material movement lines — contains BWART movement types to classify deployment vs warehouse vs return movements.,,,"Carries the SAP material movement type directly from MSEG.BWART, flowing unchanged through all pipeline layers to classify each movement line as a deployment, warehouse, or return transaction for active CPE unit counting.",,,,stage_a_derived,"The movement classification code that identifies whether an active piece of customer premises equipment was deployed to a customer, stored in a warehouse, or returned — used to count how many units are currently active in the field."
BG027-04,BG027,cpe_active_deployed_count,OBJK,SERNR,Equipment object list — bridges equipment to serial numbers for per-serial tracking.,,,"This column carries the count of actively deployed customer premises equipment and flows through unchanged from SAP field OBJK.SERNR, which bridges equipment records to their serial numbers for individual unit tracking.",,,,stage_a_derived,The number of customer premises equipment units (such as routers or modems) that are currently active and installed at customer locations.
BG027-05,BG027,cpe_active_deployed_count,SERI,SERNR,Serial number master — provides serial number details and links to goods movement documents.,,,"This column carries the serial number value flowing through unchanged from the SAP field SERI.SERNR, representing the count of active deployed CPE units identified by their serial number records.",,,,stage_a_derived,"The number of active Customer Premises Equipment (CPE) units currently deployed and in use at customer locations, tracked by their unique serial numbers."
S2T-0036,BG030,cpe_contribution_margin_by_segment,VBRK,FKSTO,"Billing document header — provides FKSTO (cancellation flag; filter FKSTO='' to exclude cancelled documents per business_filter_description), FKDAT (billing date used as the basis for MIN(FKDAT) per customer to establish the tenure anchor), KUNAG (sold-to party linking to KNA1 for secondary segment attributes), and WAERK (currency). Revenue grain is monthly by billing date.",fact_contribution_margin_by_segment,,"Carries the cancellation status flag directly from SAP field FKSTO on the VBRK billing document header, flowing through staging, vault, and mart layers unchanged.",,,,stage_a_derived,"Whether this billing document has been cancelled, as recorded directly from the original invoice header."
S2T-0037,BG030,cpe_contribution_margin_by_segment,VBRP,NETWR,"Billing document line — provides NETWR (net billed service revenue in EUR, the primary revenue measure), MATNR (service-plan material for CPE filter and service_plan segmentation), MATKL (material group for CPE-% filter), AUBEL/AUPOS (reference back to originating sales order, enabling join to VBAK/VBAP for service plan and device link). Joins to VBRK on VBELN.",fact_contribution_margin_by_segment,,"Carries the net billed service revenue in EUR directly from SAP field VBRP.NETWR through staging, vault, and mart layers unchanged as the primary revenue measure underpinning contribution margin calculations by segment.",,,,stage_a_derived,"The total revenue billed to customers in euros for each service, used as the starting point for calculating how much profit each business segment generates."
S2T-0038,BG030,cpe_contribution_margin_by_segment,VBAK,VBELN,Sales order header — provides KUNNR (customer link to KNA1 for secondary segments KTOKD and ORT01) and AUART/SPART/VTWEG for service plan classification. Needed because VBRP.AUBEL references the sales order number; VBAK bridges the billing line to the customer master.,fact_contribution_margin_by_segment,,"Carries the sales order number directly from VBAK.VBELN, flowing unchanged through staging, vault, and mart layers to link each billing line to its originating sales order header and associated customer, service plan, and segment attributes.",,,,stage_a_derived,"The unique identifier that links each billing charge back to the original sales order it came from, allowing revenue and margin to be traced to the correct customer, service plan, and business segment."
S2T-0039,BG030,cpe_contribution_margin_by_segment,VBAP,MATNR,"Sales order line item — provides MATKL (material group for CPE-% filter), MATNR (service-plan material number driving fiber/TV/cable/business segmentation), and SERNR (serial number of the deployed CPE device). VBAP.SERNR is the entry point into the per-device amortization chain: VBAP.SERNR → SERI.SERNR → SERI.EQUNR → EQUI.INBDT.",fact_contribution_margin_by_segment,,"Carries the sales order line item's material number directly from VBAP.MATNR, flowing unchanged through staging, vault, and mart layers to drive fiber, TV, cable, and business segment classification for CPE contribution margin reporting.",,,,stage_a_derived,"The product identifier assigned to each sales order line, used to categorize items into fiber, TV, cable, or business segments for contribution margin reporting."
S2T-0040,BG030,cpe_contribution_margin_by_segment,KNA1,KTOKD,"Customer master — retained in scope for the secondary segment dimensions only: KTOKD (customer account group: residential/business) and ORT01 (city, 12-city secondary dimension). Tenure is no longer derived from KNA1.ERDAT; instead tenure = months since MIN(VBRK.FKDAT) per KUNAG.",fact_contribution_margin_by_segment,,"This column carries the customer account group classification (residential or business) flowing through unchanged from SAP field KNA1.KTOKD, used exclusively to support secondary segment dimension filtering within the contribution margin by segment reporting structure.",,,,stage_a_derived,"The customer category indicating whether the account belongs to a residential or business customer, used to filter and compare profitability across different customer segments."
S2T-0041,BG030,cpe_contribution_margin_by_segment,EKKO,EBELN,Purchase order header — provides EBELN (PO number) and WAERS (currency) as the header anchor for the device unit cost chain (EKKO → EKPO). Required to filter CPE procurement documents and carry PO-level attributes to the line cost calculation.,fact_contribution_margin_by_segment,,"Carries the purchase order number directly from SAP field EKKO.EBELN, flowing through staging, vault, and mart layers unchanged as the header anchor identifier for CPE contribution margin calculations by segment.",,,,stage_a_derived,"The unique reference number assigned to each purchase order, used to link and calculate profit contribution across different business segments."
S2T-0042,BG030,cpe_contribution_margin_by_segment,EKPO,NETPR,"Purchase order line — provides NETPR (net price per unit, the authoritative device unit purchase cost for straight-line amortization over 24 months per analyst decision #3) and MATKL (CPE material group filter). NETPR is the sole cost numerator in the amortization formula: amortized_monthly_cost = NETPR / 24.",fact_contribution_margin_by_segment,,"Carries the net price per unit sourced directly from SAP field NETPR (EKPO), flowing through staging, vault, and mart layers unchanged as the authoritative device unit purchase cost used in contribution margin by segment calculations.",,,,stage_a_derived,"The purchase price paid per unit of a device, used to calculate how much profit each product segment contributes after costs."
S2T-0043,BG030,cpe_contribution_margin_by_segment,RBKP,BELNR,"Vendor invoice header — provides BELNR (invoice document number), BUDAT (invoice posting date), and LIFNR (vendor); needed to identify posted vendor invoices per the business_filter_description ('posted vendor invoices only'). Also provides the header-level posted status used to filter out unposted or parked invoices.",fact_contribution_margin_by_segment,,This column carries the vendor invoice document number (BELNR) from RBKP unchanged through all pipeline layers into the contribution margin by segment fact table.,,,,stage_a_derived,"The unique reference number assigned to the supplier's invoice, used to trace billing back to the original document."
S2T-0044,BG030,cpe_contribution_margin_by_segment,RSEG,WRBTR,"Vendor invoice line — provides EBELN/EBELP (links to PO line, confirming which PO line items have been invoiced and are therefore 'posted') and MATNR (for CPE material filter at invoice line level). Note: per analyst decision #3, RSEG.WRBTR is NOT used as the device cost basis; EKPO.NETPR is used instead. RSEG remains in scope to identify which PO lines have confirmed posted invoices.",fact_contribution_margin_by_segment,,"This column carries the vendor invoice line amount directly from SAP field RSEG.WRBTR, flowing through staging, vault, and mart layers unchanged to confirm which purchase order lines have posted invoices linked to CPE materials.",,,,stage_a_derived,"The billed amount from the supplier's invoice for a specific purchase order line, used to identify which ordered items have been invoiced and are linked to CPE materials."
S2T-0045,BG030,cpe_contribution_margin_by_segment,MARA,MATKL,"Material master — provides MATKL (material group for 'MATKL LIKE CPE-%' filter) and MTART (material type) to restrict scope to CPE materials across all procurement, billing, and movement legs. Serves as the shared CPE-filter anchor across the cost, revenue, and returns sub-queries.",fact_contribution_margin_by_segment,,"Carries the material group value directly from MARA.MATKL, flowing through staging, vault, and mart layers unchanged to anchor the CPE material scope filter across all cost, revenue, and returns segments.",,,,stage_a_derived,"The product category used to group materials into the correct business segment when calculating contribution margins across costs, revenue, and returns."
S2T-0046,BG030,cpe_contribution_margin_by_segment,EQUI,INBDT,"Equipment master — provides INBDT (date put into service / installation date), which is the deployment start date for the 24-month straight-line amortization window per analyst decision #2. A device is within its amortization window in month M if INBDT <= M < INBDT + 24 months. Joins to SERI via EQUNR.",fact_contribution_margin_by_segment,,"This column carries the equipment installation date directly from SAP field INBDT (EQUI) — the date a device was put into service — flowing through staging, vault, and mart layers unchanged.",,,,stage_a_derived,The date when the equipment was officially installed and put into service at the customer's location.
S2T-0047,BG030,cpe_contribution_margin_by_segment,SERI,EQUNR,"Serial number record — provides the per-unit link from a deployed CPE device's serial number (SERNR, joinable from VBAP.SERNR) to the equipment master (EQUNR → EQUI.INBDT). Per analyst decision #4, SERI is used exclusively in the chain VBAP.SERNR → SERI.SERNR → SERI.EQUNR → EQUI.INBDT. The prior SERI → MSEG join (MBLNR/ZEILE) is removed because cardinality evidence showed catastrophic_fanout (DAR-00539) or no_signal (DAR-00579), making it an invalid per-device join key.",fact_contribution_margin_by_segment,,"This column carries the equipment number directly from SAP field SERI.EQUNR, flowing unchanged through staging, vault, and mart layers as the per-unit link connecting a deployed CPE device's serial number to its equipment master record.",,,,stage_a_derived,"The unique identifier assigned to each customer premises equipment (CPE) device, used to track that specific unit throughout its lifecycle."
